gmina,powiat,wojewodztwo,teryt_gmi,pop_risk_total,pop_ge65,pop_outside_ge65,outside_share,risk_class_max,priority_score_v12,rank,new_large_siren_gap_count,gap_count_not_priced_as_integration,estimated_new_siren_gap_cost_pln,new_siren_cost_per_pop_outside_ge65_pln
Padew Narodowa,mielecki,PODKARPACKIE,1811062,5163.282403969097,4146.358609193765,1016.9237947753325,0.1969529681339155,wysokie ryzyko,68.46,241,2,27,80000,78.67
Bojszowy,bieruńsko-lędziński,ŚLĄSKIE,2414042,2758.685631879371,1746.2513061571349,1012.4343257222364,0.3669988033513298,wysokie ryzyko,73.31,128,2,6,80000,79.02
Ochotnica Dolna,nowotarski,MAŁOPOLSKIE,1211102,1781.5724739156915,770.6839991113645,1010.8884748043268,0.5674136133134737,wysokie ryzyko,76.57,69,2,14,80000,79.14
Sieciechów,kozienicki,MAZOWIECKIE,1407072,3112.0192762673273,2103.505349032109,1008.5139272352184,0.3240705913765637,wysokie ryzyko,70.67,191,0,36,0,0.0
Bochnia,bocheński,MAŁOPOLSKIE,1201011,3963.5245670919408,2963.3133796733173,1000.2111874186232,0.2523539769938864,wysokie ryzyko,69.76,212,1,7,40000,39.99
Miedźna,pszczyński,ŚLĄSKIE,2410032,4912.231212529077,3916.295931083306,995.9352814457708,0.2027460105919994,wysokie ryzyko,70.88,185,4,10,160000,160.65
Radzymin,wołomiński,MAZOWIECKIE,1434093,1593.269598571104,597.555686185278,995.713912385826,0.6249500481769154,wysokie ryzyko,76.33,73,1,31,40000,40.17
Krzeszyce,sulęciński,LUBUSKIE,0807012,1062.368843199677,74.35433858909859,988.0145046105785,0.9300108064491464,wysokie ryzyko,82.34,16,0,67,0,0.0
Sadlinki,kwidzyński,POMORSKIE,2207062,2850.3186469491925,1870.9139163334216,979.4047306157706,0.3436123647663274,wysokie ryzyko,70.95,183,1,45,40000,40.84
Łowicz,łowicki,ŁÓDZKIE,1005011,2047.5347942039984,1072.3599801561152,975.1748140478832,0.4762677619976627,wysokie ryzyko,78.69,45,2,5,80000,82.04
Obrowo,toruński,KUJAWSKO-POMORSKIE,0415072,956.1310110065727,0.0,956.1310110065727,1.0,wysokie ryzyko,84.68,5,1,13,40000,41.84
Czerwieńsk,zielonogórski,LUBUSKIE,0809033,1723.293423898565,794.0403162822647,929.2531076163,0.5392309253487856,wysokie ryzyko,73.84,121,0,15,0,0.0
