gmina,powiat,wojewodztwo,teryt_gmi,pop_risk_total,pop_ge65,pop_outside_ge65,outside_share,risk_class_max,priority_score_v12,rank,new_large_siren_gap_count,gap_count_not_priced_as_integration,estimated_new_siren_gap_cost_pln,new_siren_cost_per_pop_outside_ge65_pln
Łabiszyn,żniński,KUJAWSKO-POMORSKIE,0419043,1292.4783103081534,1080.5132187801453,211.96509152800803,0.1639989544408456,wysokie ryzyko,58.09,580,0,17,0,0.0
Golina,koniński,WIELKOPOLSKIE,3010013,288.821718905665,77.43730273744104,211.384416168224,0.7318854585075937,wysokie ryzyko,69.55,216,0,16,0,0.0
Rzeczyca,tomaszowski,ŁÓDZKIE,1016082,288.26325952410605,77.0277617701916,211.23549775391444,0.7327867522994197,wysokie ryzyko,70.03,202,0,7,0,0.0
Siewierz,będziński,ŚLĄSKIE,2401073,282.03249960738094,72.87646804193668,209.15603156544427,0.741602587845768,wysokie ryzyko,71.46,172,0,7,0,0.0
Zakliczyn,tarnowski,MAŁOPOLSKIE,1216143,2755.2106768932836,2547.488202250028,207.7224746432559,0.0753925920748388,wysokie ryzyko,56.95,621,0,22,0,0.0
Bodzanów,płocki,MAZOWIECKIE,1419023,589.6186104795968,383.6196232910104,205.99898718858623,0.3493766708296849,wysokie ryzyko,61.8,455,0,7,0,0.0
Sieniawa,przeworski,PODKARPACKIE,1814073,1324.5052858211752,1118.7728909387474,205.7323948824279,0.1553277265744369,wysokie ryzyko,58.81,557,0,16,0,0.0
Strzyżów,strzyżowski,PODKARPACKIE,1819043,2376.2272984210226,2171.5483363182775,204.6789621027451,0.086136104167624,wysokie ryzyko,60.66,488,1,8,40000,195.43
Stepnica,goleniowski,ZACHODNIOPOMORSKIE,3204073,1281.2758282867987,1078.0124502724789,203.2633780143198,0.1586413897202013,wysokie ryzyko,58.41,570,0,10,0,0.0
Siedlce,siedlecki,MAZOWIECKIE,1426082,203.61258635453365,1.122879100877331,202.48970725365632,0.9944852176332452,wysokie ryzyko,74.75,104,0,9,0,0.0
Jadów,wołomiński,MAZOWIECKIE,1434063,351.42851039608985,150.5798522232206,200.84865817286925,0.5715206712924222,wysokie ryzyko,66.02,320,0,10,0,0.0
Włodawa,włodawski,LUBELSKIE,0619062,248.65298427201037,48.04408076566616,200.60890350634423,0.8067826094815376,wysokie ryzyko,71.15,181,1,10,40000,199.39
Nowe Miasto nad Wartą,średzki,WIELKOPOLSKIE,3025032,268.2331831855332,73.66394435563741,194.56923882989585,0.7253734848134541,wysokie ryzyko,69.9,208,0,5,0,0.0
Golub-Dobrzyń,golubsko-dobrzyński,KUJAWSKO-POMORSKIE,0405011,192.88712968963625,0.0,192.88712968963625,1.0,wysokie ryzyko,78.67,46,1,4,40000,207.38
Żagań,żagański,LUBUSKIE,0810021,4551.085925110941,4358.381895328701,192.7040297822413,0.0423424283683555,wysokie ryzyko,57.58,602,0,10,0,0.0
Trzebiechów,zielonogórski,LUBUSKIE,0809082,1004.474532175346,812.7562129726382,191.71831920270768,0.1908642907924323,wysokie ryzyko,58.09,581,0,15,0,0.0
Obryte,pułtuski,MAZOWIECKIE,1424022,531.5110632303254,343.45797252446465,188.0530907058607,0.353808422279951,wysokie ryzyko,61.44,466,0,14,0,0.0
Serock,legionowski,MAZOWIECKIE,1408043,531.7425829097677,346.1326872742969,185.6098956354708,0.3490596796287937,wysokie ryzyko,61.66,459,0,9,0,0.0
Drwinia,bocheński,MAŁOPOLSKIE,1201032,4967.781211434614,4783.570535693434,184.21067574118007,0.0370810766217264,wysokie ryzyko,55.82,659,0,16,0,0.0
Koło,kolski,WIELKOPOLSKIE,3009072,320.20999056330817,137.41715302108642,182.79283754222172,0.5708530118646691,wysokie ryzyko,66.12,318,0,21,0,0.0
Łańcut,łańcucki,PODKARPACKIE,1810042,615.1977390685604,432.56881195013057,182.62892711842983,0.2968621558898103,wysokie ryzyko,61.34,469,0,10,0,0.0
Prudnik,prudnicki,OPOLSKIE,1610043,2038.0269448159256,1855.7330737036848,182.2938711122414,0.0894462517171018,wysokie ryzyko,58.08,582,0,7,0,0.0
Jordanów,suski,MAŁOPOLSKIE,1215011,232.871771923734,53.63363077986757,179.2381411438664,0.7696859935542866,wysokie ryzyko,70.79,187,0,6,0,0.0
Bolków,jaworski,DOLNOŚLĄSKIE,0205023,380.0429930643133,201.2799042334,178.76308883091323,0.4703759629654896,wysokie ryzyko,66.19,315,1,8,40000,223.76
Konin,Konin,WIELKOPOLSKIE,3062011,4944.315020895941,4768.7130337187,175.6019871772412,0.0355159382917759,wysokie ryzyko,57.34,608,0,6,0,0.0
Szprotawa,żagański,LUBUSKIE,0810073,2948.700937689783,2773.6651340493945,175.0358036403884,0.0593603106381902,wysokie ryzyko,55.48,667,0,12,0,0.0
Milicz,milicki,DOLNOŚLĄSKIE,0213033,781.4445874059355,606.5415969860273,174.90299041990815,0.2238200804493532,wysokie ryzyko,58.5,565,0,18,0,0.0
Łochów,węgrowski,MAZOWIECKIE,1433053,202.05927847986248,27.293888497619182,174.7653899822433,0.8649213799883023,wysokie ryzyko,71.24,178,0,13,0,0.0
Gniew,tczewski,POMORSKIE,2214023,1306.632017828118,1132.99230582489,173.63971200322808,0.1328910585643322,wysokie ryzyko,57.01,619,0,23,0,0.0
Kudowa-Zdrój,kłodzki,DOLNOŚLĄSKIE,0208031,1011.8909735579388,838.7438768046053,173.1470967533336,0.1711124036856719,wysokie ryzyko,67.44,261,0,3,0,0.0
Rybnik,Rybnik,ŚLĄSKIE,2473011,662.1407821398468,489.5237576222174,172.61702451762943,0.2606953523686931,wysokie ryzyko,62.81,413,0,10,0,0.0
Annopol,kraśnicki,LUBELSKIE,0607023,972.846296569059,800.8497619105208,171.99653465853822,0.1767972343268603,wysokie ryzyko,57.97,585,0,14,0,0.0
Elbląg,Elbląg,WARMIŃSKO-MAZURSKIE,2861011,2098.2426593649543,1927.3272109752472,170.91544838970714,0.0814564738863119,wysokie ryzyko,55.83,658,0,13,0,0.0
Leżajsk,leżajski,PODKARPACKIE,1808011,1125.277999462278,954.9584394908992,170.31955997137874,0.1513577623065297,wysokie ryzyko,58.11,578,0,6,0,0.0
Pieńsk,zgorzelecki,DOLNOŚLĄSKIE,0225043,191.37960238667324,21.196190593579615,170.18341179309363,0.8892452992416938,wysokie ryzyko,72.04,154,0,7,0,0.0
Przykona,turecki,WIELKOPOLSKIE,3027062,531.9714852201057,363.8869316857355,168.08455353437023,0.3159653443921424,wysokie ryzyko,60.18,506,0,16,0,0.0
Szubin,nakielski,KUJAWSKO-POMORSKIE,0410053,535.4736632963029,367.9613244403764,167.51233885592654,0.3128302105928859,wysokie ryzyko,61.89,447,1,9,40000,238.79
Górzyca,słubicki,LUBUSKIE,0805022,459.9882695960699,293.46110494690987,166.52716464916006,0.3620248072747437,wysokie ryzyko,60.67,487,0,5,0,0.0
Kędzierzyn-Koźle,kędzierzyńsko-kozielski,OPOLSKIE,1603011,2400.6396286912363,2234.770311928208,165.86931676302825,0.0690938009939691,wysokie ryzyko,57.26,612,1,7,40000,241.15
Wojaszówka,krośnieński,PODKARPACKIE,1807092,471.77928564479384,308.62013583968667,163.1591498051072,0.3458378838785028,wysokie ryzyko,61.7,458,0,11,0,0.0
Nowiny,kielecki,ŚWIĘTOKRZYSKIE,2604172,210.3281062956768,47.53214901593736,162.7959572797394,0.7740095232487986,wysokie ryzyko,71.82,160,1,4,40000,245.71
Będzin,będziński,ŚLĄSKIE,2401011,2903.379337277139,2741.370507133998,162.00883014314044,0.0558000906264891,wysokie ryzyko,56.4,641,0,6,0,0.0
Dobczyce,myślenicki,MAŁOPOLSKIE,1209013,3985.619105403989,3823.6302322900056,161.9888731139839,0.0406433401762721,wysokie ryzyko,55.13,681,0,16,0,0.0
Nowy Duninów,płocki,MAZOWIECKIE,1419092,422.4083863256165,260.88286481801225,161.52552150760425,0.3823918433832683,wysokie ryzyko,62.17,432,0,15,0,0.0
Czorsztyn,nowotarski,MAŁOPOLSKIE,1211042,1529.8924119140215,1369.4539647140996,160.4384471999221,0.1048691044876811,wysokie ryzyko,58.31,571,1,2,40000,249.32
Kruszwica,inowrocławski,KUJAWSKO-POMORSKIE,0407063,208.99167209761836,49.691466580298176,159.3002055173202,0.7622323125053152,wysokie ryzyko,69.13,226,0,16,0,0.0
Czernichów,żywiecki,ŚLĄSKIE,2417022,924.8746811098042,767.4744583173461,157.40022279245795,0.1701854597247547,wysokie ryzyko,59.28,538,0,8,0,0.0
Wałbrzych,Wałbrzych,DOLNOŚLĄSKIE,0265011,716.6344615473777,559.5331854535772,157.10127609380052,0.219220934135072,wysokie ryzyko,63.37,397,1,1,40000,254.61
Szczytna,kłodzki,DOLNOŚLĄSKIE,0208143,533.324095051943,376.30565051110233,157.01844454084073,0.2944146832997447,wysokie ryzyko,61.12,478,0,14,0,0.0
Komorniki,poznański,WIELKOPOLSKIE,3021072,232.20704893394344,75.63167907463395,156.5753698593095,0.6742920620977828,wysokie ryzyko,66.84,287,0,4,0,0.0
Brwinów,pruszkowski,MAZOWIECKIE,1421033,176.88298605226956,21.364311220387375,155.51867483188218,0.8792178281404965,niskie ryzyko,60.58,492,0,6,0,0.0
Złotoryja,złotoryjski,DOLNOŚLĄSKIE,0226021,251.78599771285377,97.8900034525011,153.8959942603527,0.6112174452046434,wysokie ryzyko,69.4,220,1,0,40000,259.92
Gorlice,gorlicki,MAŁOPOLSKIE,1205011,832.6103828516284,678.8909070969205,153.7194757547079,0.18462353931767,wysokie ryzyko,58.11,579,0,7,0,0.0
Bogatynia,zgorzelecki,DOLNOŚLĄSKIE,0225033,1291.5604628307028,1139.6309926126764,151.9294702180263,0.1176324876692521,wysokie ryzyko,55.93,655,1,2,40000,263.28
Brody,żarski,LUBUSKIE,0811033,151.60970199179388,0.0,151.60970199179388,1.0,wysokie ryzyko,72.92,136,0,3,0,0.0
Kłodzko,kłodzki,DOLNOŚLĄSKIE,0208021,2907.9082951542805,2756.413675392425,151.4946197618554,0.0520974543847565,wysokie ryzyko,56.33,646,0,6,0,0.0
Szaflary,nowotarski,MAŁOPOLSKIE,1211142,522.3669674531567,372.4686358114974,149.8983316416593,0.2869598213158481,wysokie ryzyko,59.93,511,0,8,0,0.0
Ujsoły,żywiecki,ŚLĄSKIE,2417142,174.9387971555883,25.665192248054375,149.27360490753392,0.8532904497723962,wysokie ryzyko,72.11,152,0,10,0,0.0
Braniewo,braniewski,WARMIŃSKO-MAZURSKIE,2802022,163.00329191371355,14.160392958512832,148.84289895520072,0.9131281780124496,wysokie ryzyko,71.72,164,0,4,0,0.0
Daleszyce,kielecki,ŚWIĘTOKRZYSKIE,2604053,260.53273002150024,111.8099169868743,148.72281303462597,0.5708411876786181,wysokie ryzyko,64.54,361,0,14,0,0.0
Racibórz,raciborski,ŚLĄSKIE,2411011,7399.746359489433,7251.103670423784,148.6426890656495,0.0200875383890733,wysokie ryzyko,54.67,695,0,9,0,0.0
Wodzisław Śląski,wodzisławski,ŚLĄSKIE,2415041,761.2856196308078,614.1275996012357,147.15802002957204,0.1933019831649225,wysokie ryzyko,59.54,524,0,5,0,0.0
Tarłów,opatowski,ŚWIĘTOKRZYSKIE,2606072,584.7579704420918,438.9534876023694,145.80448283972245,0.2493415912390053,wysokie ryzyko,58.46,567,0,14,0,0.0
Nieborów,łowicki,ŁÓDZKIE,1005092,246.71559615519652,101.33407299760944,145.38152315758708,0.5892676645627818,wysokie ryzyko,65.77,326,0,8,0,0.0
Krzeszów,niżański,PODKARPACKIE,1812042,822.960900706744,677.7050423654939,145.25585834125008,0.1765039605362866,wysokie ryzyko,57.75,595,0,13,0,0.0
Góra,górowski,DOLNOŚLĄSKIE,0204013,256.0686869630512,111.39364215892512,144.6750448041261,0.5649853034354083,wysokie ryzyko,63.96,381,0,7,0,0.0
Maków Podhalański,suski,MAŁOPOLSKIE,1215063,432.67069310151334,288.1465497298025,144.52414337171092,0.3340280395136507,wysokie ryzyko,61.12,479,0,13,0,0.0
Żarów,świdnicki,DOLNOŚLĄSKIE,0219083,317.6271112335372,174.26493202283842,143.36217921069877,0.4513537230935267,wysokie ryzyko,62.02,442,0,4,0,0.0
Książ Wielkopolski,śremski,WIELKOPOLSKIE,3026033,234.87437032245356,92.18873388979748,142.68563643265605,0.6074976858342026,wysokie ryzyko,64.82,355,0,23,0,0.0
Żyraków,dębicki,PODKARPACKIE,1803072,894.5034007998111,752.274891996122,142.22850880368912,0.1590027591583407,wysokie ryzyko,56.43,640,0,9,0,0.0
Podegrodzie,nowosądecki,MAŁOPOLSKIE,1210142,3495.730121107894,3353.5143279583954,142.21579314949835,0.0406827152619053,wysokie ryzyko,54.65,696,0,9,0,0.0
Jasło,jasielski,PODKARPACKIE,1805042,655.5161671958647,513.6661624217521,141.8500047741126,0.2163943650404713,wysokie ryzyko,58.04,584,0,13,0,0.0
Mszana Dolna,limanowski,MAŁOPOLSKIE,1207092,281.11153249737634,139.95767380931008,141.15385868806626,0.5021275983737298,wysokie ryzyko,63.33,398,0,17,0,0.0
Goczałkowice-Zdrój,pszczyński,ŚLĄSKIE,2410012,763.2939513331871,622.3553248460471,140.93862648714,0.1846452814685263,wysokie ryzyko,57.15,613,0,6,0,0.0
Bałtów,ostrowiecki,ŚWIĘTOKRZYSKIE,2607022,237.9953837571625,97.39916654340146,140.596217213761,0.5907518666715725,wysokie ryzyko,65.43,338,0,10,0,0.0
Zabrodzie,wyszkowski,MAZOWIECKIE,1435062,244.17395126274684,104.20867069009157,139.96528057265527,0.5732195422518418,wysokie ryzyko,64.1,372,0,8,0,0.0
Bircza,przemyski,PODKARPACKIE,1813013,346.7324689601714,207.92867286377623,138.80379609639513,0.4003195792786839,wysokie ryzyko,61.23,473,0,18,0,0.0
Żórawina,wrocławski,DOLNOŚLĄSKIE,0223092,136.56125091325384,0.4474456306869527,136.1138052825669,0.9967234802867236,wysokie ryzyko,74.18,115,0,6,0,0.0
Kielce,Kielce,ŚWIĘTOKRZYSKIE,2661011,266.4295506575564,131.84682781282055,134.58272284473583,0.50513436858855,wysokie ryzyko,65.71,327,0,3,0,0.0
Ciechocinek,aleksandrowski,KUJAWSKO-POMORSKIE,0401021,7398.6737520586275,7264.132447147202,134.54130491142558,0.018184516498513,wysokie ryzyko,54.22,710,0,3,0,0.0
Tolkmicko,elbląski,WARMIŃSKO-MAZURSKIE,2804093,487.15256597219394,352.7418090130473,134.4107569591466,0.2759110109394735,wysokie ryzyko,58.84,554,0,9,0,0.0
Grybów,nowosądecki,MAŁOPOLSKIE,1210011,307.0638911372795,173.25099485791316,133.81289627936633,0.4357819337980785,wysokie ryzyko,63.15,402,1,2,40000,298.92
Lewin Kłodzki,kłodzki,DOLNOŚLĄSKIE,0208092,152.55466248133652,18.816194880290784,133.73846760104573,0.8766593260786588,wysokie ryzyko,72.25,150,0,7,0,0.0
Rzekuń,ostrołęcki,MAZOWIECKIE,1415102,288.9634493357373,155.33895796087654,133.62449137486078,0.4624269667393359,wysokie ryzyko,62.34,427,0,9,0,0.0
Dąbie,krośnieński,LUBUSKIE,0802042,131.74203277136613,0.0752872651778376,131.6667455061883,0.9994285250986792,wysokie ryzyko,72.35,146,0,5,0,0.0
Dobra,turecki,WIELKOPOLSKIE,3027033,274.76840520598495,145.38988990428243,129.37851530170252,0.4708638724481865,wysokie ryzyko,61.56,463,0,13,0,0.0
Nowa Ruda,kłodzki,DOLNOŚLĄSKIE,0208112,159.97671632264843,33.014041760444066,126.96267456220436,0.7936322077404075,wysokie ryzyko,70.72,188,0,8,0,0.0
Somianka,wyszkowski,MAZOWIECKIE,1435042,385.29214200420745,258.8492184732336,126.44292353097389,0.3281741560397385,wysokie ryzyko,58.65,563,0,11,0,0.0
Przytoczna,międzyrzecki,LUBUSKIE,0803032,126.05824356469309,0.0,126.05824356469309,1.0,wysokie ryzyko,71.94,158,0,18,0,0.0
Brody,starachowicki,ŚWIĘTOKRZYSKIE,2611022,291.0162058957468,165.15024147022012,125.86596442552668,0.4325050010122691,wysokie ryzyko,61.38,468,0,7,0,0.0
Miastkowo,łomżyński,PODLASKIE,2007032,238.27603782444916,112.59519581685618,125.68084200759296,0.5274590057611619,wysokie ryzyko,63.4,395,0,3,0,0.0
Jeleśnia,żywiecki,ŚLĄSKIE,2417042,343.2799285534678,217.8732204035255,125.4067081499424,0.3653190813642621,wysokie ryzyko,60.55,494,0,13,0,0.0
Morawica,kielecki,ŚWIĘTOKRZYSKIE,2604123,379.2275563718838,254.12467258793424,125.10288378394958,0.3298886952752698,wysokie ryzyko,60.0,507,1,5,40000,319.74
Starachowice,starachowicki,ŚWIĘTOKRZYSKIE,2611011,478.2291433322255,353.8409169478734,124.38822638435208,0.2601017276313076,wysokie ryzyko,58.78,559,0,8,0,0.0
Pszczyna,pszczyński,ŚLĄSKIE,2410053,189.001983948418,65.11342185736757,123.88856209105042,0.6554881568061307,wysokie ryzyko,66.22,313,0,5,0,0.0
Dzierżoniów,dzierżoniowski,DOLNOŚLĄSKIE,0202021,1801.6032577302672,1678.7451413042568,122.8581164260106,0.0681937690214838,wysokie ryzyko,55.15,679,0,5,0,0.0
Raba Wyżna,nowotarski,MAŁOPOLSKIE,1211112,261.7086057948551,139.1176875063452,122.59091828850993,0.468425246912228,wysokie ryzyko,62.06,438,0,8,0,0.0
Ożarów,opatowski,ŚWIĘTOKRZYSKIE,2606053,353.46960026074123,230.98109994891053,122.48850031183072,0.3465319230323501,wysokie ryzyko,59.34,533,0,6,0,0.0
Osiek,oświęcimski,MAŁOPOLSKIE,1213052,176.63649710198112,54.21072726473416,122.42576983724696,0.6930944161928462,wysokie ryzyko,66.73,294,0,4,0,0.0
Aleksandrów Kujawski,aleksandrowski,KUJAWSKO-POMORSKIE,0401042,671.7902700883756,549.5128134560352,122.27745663234032,0.1820173081939017,wysokie ryzyko,56.37,643,0,17,0,0.0
Raciążek,aleksandrowski,KUJAWSKO-POMORSKIE,0401072,561.8758043734886,440.3197412648268,121.55606310866176,0.2163397358677885,wysokie ryzyko,56.51,633,0,11,0,0.0
Międzylesie,kłodzki,DOLNOŚLĄSKIE,0208103,542.2820724814345,420.7731599781523,121.50891250328218,0.224069573141646,wysokie ryzyko,56.97,620,0,20,0,0.0
Osiecznica,bolesławiecki,DOLNOŚLĄSKIE,0201052,266.69619438042906,145.19177765683628,121.5044167235928,0.4555911155982702,wysokie ryzyko,61.77,456,0,9,0,0.0
Kostomłoty,średzki,DOLNOŚLĄSKIE,0218012,170.30687803897092,48.857872016846784,121.44900602212414,0.7131186210479018,wysokie ryzyko,66.4,304,0,2,0,0.0
Zamość,Zamość,LUBELSKIE,0664011,132.55679604805806,11.386253328825326,121.17054271923271,0.9141028323836576,wysokie ryzyko,71.24,179,0,8,0,0.0
Malbork,malborski,POMORSKIE,2209011,138.61445903660194,17.980715589603133,120.6337434469988,0.8702825396818435,wysokie ryzyko,69.97,206,0,4,0,0.0
Krasnystaw,krasnostawski,LUBELSKIE,0606011,637.7248707616641,519.5114571422773,118.21341361938678,0.1853674194613095,wysokie ryzyko,57.45,605,0,9,0,0.0
Odrzywół,przysuski,MAZOWIECKIE,1423043,249.76664897445647,131.76855782216668,117.9980911522898,0.47243333582282,wysokie ryzyko,61.81,454,0,7,0,0.0
Biłgoraj,biłgorajski,LUBELSKIE,0602032,326.092857643268,208.64589724004,117.44696040322803,0.3601641607609515,wysokie ryzyko,60.45,499,0,10,0,0.0
Lubomierz,lwówecki,DOLNOŚLĄSKIE,0212023,183.1681932581696,66.01469043153796,117.15350282663164,0.6395952307151253,wysokie ryzyko,65.4,340,0,9,0,0.0
Mielec,mielecki,PODKARPACKIE,1811011,2494.035001299595,2378.09028560417,115.94471569542594,0.0464888085512069,wysokie ryzyko,53.51,730,0,6,0,0.0
Police,policki,ZACHODNIOPOMORSKIE,3211043,245.9373028108563,130.02780231945252,115.90950049140376,0.4712969491275043,wysokie ryzyko,61.71,457,0,11,0,0.0
Sokołów Małopolski,rzeszowski,PODKARPACKIE,1816113,384.4386262355416,270.5359531598139,113.90267307572766,0.2962831133569306,wysokie ryzyko,59.14,543,0,3,0,0.0
Józefów nad Wisłą,opolski,LUBELSKIE,0612023,313.6744478065893,199.8174837673004,113.8569640392889,0.3629781285515891,wysokie ryzyko,59.58,522,0,9,0,0.0
Rzgów,koniński,WIELKOPOLSKIE,3010082,856.5555333303148,742.8988184659729,113.65671486434188,0.1326904216267695,wysokie ryzyko,54.91,690,0,13,0,0.0
Janowiec,puławski,LUBELSKIE,0614032,471.7941183407358,358.31431826044184,113.47980008029394,0.2405282212491198,wysokie ryzyko,56.82,622,0,7,0,0.0
Bardo,ząbkowicki,DOLNOŚLĄSKIE,0224013,866.1506820342986,752.8645862784651,113.2860957558334,0.1307925954520548,wysokie ryzyko,55.21,676,0,6,0,0.0
Lubień,myślenicki,MAŁOPOLSKIE,1209022,196.17835024577997,82.93795149976181,113.24039874601816,0.5772318841714498,wysokie ryzyko,63.47,393,0,12,0,0.0
Czerwińsk nad Wisłą,płoński,MAZOWIECKIE,1420043,172.62343323199198,60.682590755468865,111.9408424765231,0.6484684053646623,wysokie ryzyko,64.82,356,0,11,0,0.0
Nowe Warpno,policki,ZACHODNIOPOMORSKIE,3211033,196.3731754166702,84.66275757957442,111.71041783709578,0.5688680116317589,wysokie ryzyko,63.2,400,0,14,0,0.0
Wiązowna,otwocki,MAZOWIECKIE,1417082,272.4562893413059,161.46326852526136,110.99302081604452,0.407379183957848,wysokie ryzyko,59.9,512,0,14,0,0.0
Marki,wołomiński,MAZOWIECKIE,1434021,216.0628774091642,105.27288806253736,110.78998934662684,0.5127673512225832,wysokie ryzyko,65.12,349,0,3,0,0.0
Nakło nad Notecią,nakielski,KUJAWSKO-POMORSKIE,0410033,550.1165278456319,439.42985798859934,110.68666985703264,0.2012058614026815,wysokie ryzyko,56.37,644,0,13,0,0.0
Ełk,ełcki,WARMIŃSKO-MAZURSKIE,2805022,221.8035245631538,111.36473242876455,110.4387921343892,0.4979127015763184,wysokie ryzyko,61.52,464,0,13,0,0.0
Poddębice,poddębicki,ŁÓDZKIE,1011033,169.5811587572552,59.57942936793633,110.00172938931888,0.6486671644152371,wysokie ryzyko,64.57,358,0,17,0,0.0
Janów Podlaski,bialski,LUBELSKIE,0601053,117.07828710595663,7.675681412878534,109.4026056930781,0.9344397530693972,wysokie ryzyko,69.96,207,0,8,0,0.0
Gromnik,tarnowski,MAŁOPOLSKIE,1216022,315.60913692097614,206.27757433778137,109.33156258319482,0.3464144405000854,wysokie ryzyko,59.39,531,0,5,0,0.0
Radziechowy-Wieprz,żywiecki,ŚLĄSKIE,2417102,759.3263102509322,650.2376002357936,109.08871001513864,0.1436651259707943,wysokie ryzyko,56.29,647,0,7,0,0.0
Czchów,brzeski,MAŁOPOLSKIE,1202033,1055.3701662032388,946.7909999193276,108.57916628391132,0.1028825427902058,wysokie ryzyko,53.97,720,0,15,0,0.0
Łowicz,łowicki,ŁÓDZKIE,1005072,198.2127511764537,89.9089264423256,108.30382473412809,0.5464019044754262,wysokie ryzyko,62.8,414,0,10,0,0.0
Skarżysko-Kamienna,skarżyski,ŚWIĘTOKRZYSKIE,2610011,129.1855860573087,21.310259287065502,107.8753267702432,0.8350415093707749,wysokie ryzyko,68.26,247,0,7,0,0.0
Rytro,nowosądecki,MAŁOPOLSKIE,1210152,338.95255881694914,231.55967188160295,107.3928869353462,0.3168375164659653,wysokie ryzyko,60.91,484,0,2,0,0.0
Łękawica,żywiecki,ŚLĄSKIE,2417072,566.2093415743758,459.1346003380992,107.07474123627658,0.1891080442766088,wysokie ryzyko,56.05,652,0,7,0,0.0
Sochaczew,sochaczewski,MAZOWIECKIE,1428011,515.0586805995474,408.3278320954982,106.7308485040492,0.2072207546911169,wysokie ryzyko,57.39,606,0,5,0,0.0
Łambinowice,nyski,OPOLSKIE,1607042,2122.4549529455744,2016.390420363061,106.06453258251348,0.0499725718255247,wysokie ryzyko,53.8,721,0,3,0,0.0
Fredropol,przemyski,PODKARPACKIE,1813032,146.36368893656885,40.51991387234713,105.84377506422172,0.7231559673936091,wysokie ryzyko,66.16,316,0,9,0,0.0
Niedźwiedź,limanowski,MAŁOPOLSKIE,1207102,118.89416864699903,13.087203061533558,105.80696558546546,0.8899256102257636,wysokie ryzyko,70.83,186,0,11,0,0.0
Pińczów,pińczowski,ŚWIĘTOKRZYSKIE,2608043,297.0181100272968,191.31706521566673,105.70104481163008,0.3558740738129262,wysokie ryzyko,58.7,561,0,11,0,0.0
Księżpol,biłgorajski,LUBELSKIE,0602082,144.31189220052585,39.973705913637694,104.33818628688816,0.7230047690172825,wysokie ryzyko,66.46,303,0,8,0,0.0
Zielona Góra,Zielona Góra,LUBUSKIE,0862011,180.62405049169496,76.33869333049132,104.28535716120363,0.5773614138168087,wysokie ryzyko,63.33,399,0,3,0,0.0
Sieradz,sieradzki,ŁÓDZKIE,1014011,1382.6604457470216,1278.5394183753788,104.1210273716428,0.0753048426979398,wysokie ryzyko,56.24,649,1,0,40000,384.17
Zbójna,łomżyński,PODLASKIE,2007092,142.12758097216798,38.87096765754793,103.25661331462004,0.7265065134320423,wysokie ryzyko,65.63,330,0,12,0,0.0
Zgorzelec,zgorzelecki,DOLNOŚLĄSKIE,0225072,366.1544906202942,263.42576726770875,102.72872335258546,0.2805611455933669,wysokie ryzyko,57.06,618,0,7,0,0.0
Dukla,krośnieński,PODKARPACKIE,1807023,177.7022749232284,75.0999084279921,102.60236649523628,0.5773835283738654,wysokie ryzyko,62.92,408,0,13,0,0.0
Firlej,lubartowski,LUBELSKIE,0608032,236.50887213133723,134.1508873845026,102.35798474683465,0.4327870824651076,wysokie ryzyko,59.72,517,0,17,0,0.0
Wiślica,buski,ŚWIĘTOKRZYSKIE,2601083,824.3986449806098,722.2147891857646,102.18385579484509,0.1239495678662214,wysokie ryzyko,54.34,706,0,11,0,0.0
Kołaczyce,jasielski,PODKARPACKIE,1805053,486.5614033016087,385.60479117383704,100.95661212777163,0.2074899723708476,wysokie ryzyko,57.14,614,0,6,0,0.0
Drohiczyn,siemiatycki,PODLASKIE,2010023,119.6195179008435,18.718772334070504,100.900745566773,0.843514063067976,wysokie ryzyko,67.78,254,0,15,0,0.0
Klucze,olkuski,MAŁOPOLSKIE,1212042,101.50910048992982,0.635509987739821,100.87359050219,0.9937393791820384,wysokie ryzyko,72.86,138,0,5,0,0.0
Brzostek,dębicki,PODKARPACKIE,1803023,509.58224636695934,409.0688990844282,100.51334728253116,0.19724656421831,wysokie ryzyko,56.01,653,0,14,0,0.0
Będzino,koszaliński,ZACHODNIOPOMORSKIE,3209012,172.38829246407167,72.3400789099598,100.04821355411188,0.5803654768200888,wysokie ryzyko,62.45,425,0,13,0,0.0
Zatory,pułtuski,MAZOWIECKIE,1424072,136.69308411652656,36.656751706911805,100.03633240961476,0.7318317020657529,wysokie ryzyko,65.39,341,0,15,0,0.0
Bieruń,bieruńsko-lędziński,ŚLĄSKIE,2414011,3397.8505562637224,3297.981177942419,99.86937832130384,0.029391927828374,wysokie ryzyko,52.43,753,0,13,0,0.0
Czarna,dębicki,PODKARPACKIE,1803032,386.52298919579187,286.81032716735575,99.7126620284362,0.257973431893147,wysokie ryzyko,57.32,609,0,11,0,0.0
Radom,Radom,MAZOWIECKIE,1463011,202.8558745582352,103.30651398969488,99.54936056854034,0.4907393526824486,wysokie ryzyko,62.69,417,0,9,0,0.0
Łomża,łomżyński,PODLASKIE,2007022,249.6937524286592,150.3322931898585,99.36145923880068,0.3979333013836201,wysokie ryzyko,59.49,526,0,12,0,0.0
Biała Podlaska,Biała Podlaska,LUBELSKIE,0661011,179.48122605083122,80.24860854648396,99.23261750434726,0.5528857791301437,wysokie ryzyko,69.06,227,0,1,0,0.0
