candidate_id,nr_ref,wojewodztwo,powiat,gmina,teryt_gmi,recommended_action,priority_class,priority_score_v13,risk_class,recommended_power_class_w,new_pop_ge65_proxy,flood_risk_pop_ge65_gain_proxy,redundancy_gain_pop_proxy,failure_loss_pop_night_proxy,estimated_cost_pln,cost_per_new_person_ge65_pln,candidate_lat,candidate_lon,candidate_source,candidate_type,effect_method
EXIST-SOiA-20260422-10077,SOiA-20260422-10077,POMORSKIE,m. Gdańsk,Gdańsk,,integracja,A,87.05,,600,0.0,0.0,0.0,2790.37,5000,0.0,54.409517,18.630733,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260420-62661,SOiA-20260420-62661,MAŁOPOLSKIE,krakowski,Skała,,integracja,A,87.05,,900,0.0,0.0,0.0,2789.43,5000,0.0,50.230214,19.852918,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260422-80044,SOiA-20260422-80044,LUBUSKIE,żarski,Żary,,integracja,A,87.05,,600,0.0,0.0,0.0,2789.16,5000,0.0,51.638368,15.143551,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
NEW-19285,,DOLNOŚLĄSKIE,bolesławiecki,Bolesławiec,0201022,walidacja_terenowa,A,87.04,wysokie ryzyko,600,62.68,62.68,0.0,0.0,0,0.0,51.3841365,15.6108074,nearest_public_osm_object,office,gap_population_proxy
EXIST-SOiA-20260424-70857,SOiA-20260424-70857,ŚLĄSKIE,m. Chorzów,Chorzów,,integracja,A,87.04,,900,0.0,0.0,0.0,2788.51,5000,0.0,50.293684,18.942878,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260423-51639,SOiA-20260423-51639,MAŁOPOLSKIE,nowosądecki,Kamionka Wielka,,integracja,A,87.04,,900,0.0,0.0,0.0,2785.27,5000,0.0,49.578941,20.789601,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260409-70872,SOiA-20260409-70872,ŚLĄSKIE,m. Rybnik,Rybnik,,integracja,A,87.04,,600,0.0,0.0,0.0,2785.18,5000,0.0,50.070422,18.500168,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260416-71954,SOiA-20260416-71954,MAŁOPOLSKIE,krakowski,Zabierzów,,integracja,A,87.03,,600,0.0,0.0,0.0,2779.78,5000,0.0,50.099423,19.836049,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260408-55424,SOiA-20260408-55424,ZACHODNIOPOMORSKIE,policki,Dobra (Szczecińska),,integracja,A,87.03,,900,0.0,0.0,0.0,2779.2,5000,0.0,53.425332,14.454505,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260424-00304,SOiA-20260424-00304,MAZOWIECKIE,Warszawa,Praga-Południe,,integracja,A,87.03,,900,0.0,0.0,0.0,2778.9,5000,0.0,52.239275,21.092202,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260424-00275,SOiA-20260424-00275,MAZOWIECKIE,Warszawa,Bielany,,integracja,A,87.03,,900,0.0,0.0,0.0,2778.09,5000,0.0,52.272805,20.922037,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260424-30903,SOiA-20260424-30903,ŚLĄSKIE,m. Piekary Śląskie,Piekary Śląskie,,integracja,A,87.03,,1200,0.0,0.0,0.0,2777.18,5000,0.0,50.370525,18.974394,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260422-60095,SOiA-20260422-60095,PODKARPACKIE,stalowowolski,Stalowa Wola,,integracja,A,87.03,,900,0.0,0.0,0.0,2776.42,5000,0.0,50.566155,22.04929,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260408-72794,SOiA-20260408-72794,WIELKOPOLSKIE,pilski,Piła,,integracja,A,87.03,,600,0.0,0.0,0.0,2776.15,5000,0.0,53.149042,16.738247,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
NEW-12889,,MAZOWIECKIE,nowodworski,Nowy Dwór Mazowiecki,1414011,walidacja_terenowa,A,87.02,wysokie ryzyko,300,92.96,92.96,0.0,0.0,0,0.0,52.4221986,20.7328091,nearest_public_osm_object,school,gap_population_proxy
EXIST-SOiA-20260422-35301,SOiA-20260422-35301,LUBELSKIE,m. Lublin,Lublin,,integracja,A,87.02,,300,0.0,0.0,0.0,2774.66,5000,0.0,51.24337,22.517312,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260416-17258,SOiA-20260416-17258,DOLNOŚLĄSKIE,jaworski,Jawor,,integracja,A,87.02,,600,0.0,0.0,0.0,2773.46,5000,0.0,51.056529,16.19035,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260422-99871,SOiA-20260422-99871,MAZOWIECKIE,m. Siedlce,Siedlce,,integracja,A,87.02,,900,0.0,0.0,0.0,2771.26,5000,0.0,52.160706,22.248761,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260423-23904,SOiA-20260423-23904,KUJAWSKO-POMORSKIE,inowrocławski,Złotniki Kujawskie,,integracja,A,87.02,,900,0.0,0.0,0.0,2770.29,5000,0.0,52.897464,18.146584,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260424-26878,SOiA-20260424-26878,KUJAWSKO-POMORSKIE,aleksandrowski,Aleksandrów Kujawski,,integracja,A,87.01,,900,0.0,0.0,0.0,2767.19,5000,0.0,52.874699,18.694133,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260424-00009,SOiA-20260424-00009,MAZOWIECKIE,Warszawa,Bemowo,,integracja,A,87.01,,1200,0.0,0.0,0.0,2766.22,5000,0.0,52.261059,20.902583,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260420-84549,SOiA-20260420-84549,DOLNOŚLĄSKIE,polkowicki,Chocianów,,integracja,A,87.01,,900,0.0,0.0,0.0,2766.2,5000,0.0,51.422486,15.897565,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260422-96073,SOiA-20260422-96073,POMORSKIE,m. Gdańsk,Gdańsk,,integracja,A,87.01,,600,0.0,0.0,0.0,2765.01,5000,0.0,54.380654,18.594052,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260420-61938,SOiA-20260420-61938,WIELKOPOLSKIE,m. Leszno,Leszno,,integracja,A,87.01,,900,0.0,0.0,0.0,2763.95,5000,0.0,51.842999,16.56296,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260407-15354,SOiA-20260407-15354,ŁÓDZKIE,kutnowski,Kutno,,integracja,A,87.01,,900,0.0,0.0,0.0,2763.44,5000,0.0,52.222663,19.362449,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260424-00398,SOiA-20260424-00398,MAZOWIECKIE,Warszawa,Ursynów,,integracja,A,87.01,,900,0.0,0.0,0.0,2763.43,5000,0.0,52.165131,21.01584,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260424-55348,SOiA-20260424-55348,ŚLĄSKIE,wodzisławski,Pszów,,integracja,A,87.01,,900,0.0,0.0,0.0,2762.75,5000,0.0,50.04121,18.394994,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260414-34957,SOiA-20260414-34957,ŚLĄSKIE,m. Gliwice,Gliwice,,integracja,A,87.0,,900,0.0,0.0,0.0,2759.22,5000,0.0,50.344871,18.630176,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260421-83190,SOiA-20260421-83190,MAŁOPOLSKIE,suski,Bystra-Sidzina,,integracja,A,87.0,,1200,0.0,0.0,0.0,2758.66,5000,0.0,49.64604,19.779969,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260422-17201,SOiA-20260422-17201,MAZOWIECKIE,warszawski zachodni,Ożarów Mazowiecki,,integracja,A,87.0,,900,0.0,0.0,0.0,2758.53,5000,0.0,52.200576,20.789462,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260423-81752,SOiA-20260423-81752,LUBELSKIE,m. Biała Podlaska,Biała Podlaska,,integracja,A,87.0,,1200,0.0,0.0,0.0,2756.4,5000,0.0,52.038496,23.111067,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260424-00370,SOiA-20260424-00370,MAZOWIECKIE,Warszawa,Bielany,,integracja,A,87.0,,900,0.0,0.0,0.0,2755.58,5000,0.0,52.266222,20.954045,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260429-12707,SOiA-20260429-12707,WIELKOPOLSKIE,poznański,Pobiedziska,,integracja,A,86.99,,900,0.0,0.0,0.0,2753.32,5000,0.0,52.46135,17.173278,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260424-00380,SOiA-20260424-00380,MAZOWIECKIE,Warszawa,Mokotów,,integracja,A,86.99,,900,0.0,0.0,0.0,2750.53,5000,0.0,52.186884,21.054113,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
