risk_class,pop_night_total,pop_day_total,pop_night_ge65,pop_day_ge65,pop_night_outside,pop_day_outside,poziom,teryt_woj,wojewodztwo,teryt_pow,powiat,teryt_gmi,gmina
niskie ryzyko,8684.302512418015,8596.863679944187,8537.15816893081,8443.382305382655,147.14434348720485,153.4813745615314,powiat,02,DOLNOŚLĄSKIE,0262,Legnica,,
wysokie ryzyko,75371.72646954069,75622.87690109551,73025.38396767237,73193.6324524389,2346.3425018683156,2429.2444486566205,powiat,02,DOLNOŚLĄSKIE,0262,Legnica,,
niskie ryzyko,68.57406026220728,68.4888278605923,30.210481085886915,30.56916804060076,38.36357917632037,37.919659819991544,powiat,02,DOLNOŚLĄSKIE,0265,Wałbrzych,,
wysokie ryzyko,648.0604012851704,681.7957793822618,529.3227043676902,566.8991161762699,118.73769691748016,114.89666320599194,powiat,02,DOLNOŚLĄSKIE,0265,Wałbrzych,,
niskie ryzyko,52221.57158685453,52118.57455562795,47986.32761477588,47586.89022934786,4235.243972078648,4531.684326280081,powiat,02,DOLNOŚLĄSKIE,0264,Wrocław,,
wysokie ryzyko,100166.60111698035,98516.77039340218,95224.4590290759,93279.05564681016,4942.1420879044845,5237.714746592023,powiat,02,DOLNOŚLĄSKIE,0264,Wrocław,,
niskie ryzyko,793.2729166761703,818.0016260036966,295.9124212120386,297.8833737248393,497.36049546413176,520.1182522788574,powiat,02,DOLNOŚLĄSKIE,0201,bolesławiecki,,
wysokie ryzyko,393.38605905511065,396.70523411090016,99.34568743189048,96.9789516764651,294.04037162322015,299.7262824344351,powiat,02,DOLNOŚLĄSKIE,0201,bolesławiecki,,
niskie ryzyko,1216.3807927120456,1156.7090530283665,878.6767669558552,828.6651858154312,337.70402575619056,328.04386721293497,powiat,02,DOLNOŚLĄSKIE,0202,dzierżoniowski,,
wysokie ryzyko,1946.2496078308416,1866.3303335599355,1732.9548545696384,1653.4259357956753,213.2947532612033,212.90439776426024,powiat,02,DOLNOŚLĄSKIE,0202,dzierżoniowski,,
niskie ryzyko,1428.8388968101312,1412.9083690391694,574.7484331236067,582.0952399945387,854.0904636865243,830.8131290446308,powiat,02,DOLNOŚLĄSKIE,0204,górowski,,
wysokie ryzyko,2067.609200031885,2083.1798930706013,1149.625024844432,1149.180439873854,917.9841751874524,933.9994531967473,powiat,02,DOLNOŚLĄSKIE,0204,górowski,,
niskie ryzyko,3344.480607533673,3306.1205968696327,1907.7115942385085,1815.3589708679197,1436.769013295165,1490.7616260017126,powiat,02,DOLNOŚLĄSKIE,0203,głogowski,,
wysokie ryzyko,4743.134378455354,4784.191695479358,2261.836719756988,2393.795794593776,2481.297658698366,2390.395900885581,powiat,02,DOLNOŚLĄSKIE,0203,głogowski,,
niskie ryzyko,604.2052989224803,596.9492749301446,391.2311059511248,384.1841367873212,212.9741929713556,212.76513814282345,powiat,02,DOLNOŚLĄSKIE,0205,jaworski,,
wysokie ryzyko,4326.707129435417,3957.4936188784495,4024.7620987030487,3678.874825723088,301.94503073236905,278.61879315536163,powiat,02,DOLNOŚLĄSKIE,0205,jaworski,,
niskie ryzyko,1958.100005414372,1870.0577359159577,1221.9295817847403,1142.8993198996625,736.1704236296312,727.158416016295,powiat,02,DOLNOŚLĄSKIE,0207,kamiennogórski,,
wysokie ryzyko,8847.386607406705,8585.076443351654,8249.614751326017,7994.724937829336,597.7718560806879,590.3515055223165,powiat,02,DOLNOŚLĄSKIE,0207,kamiennogórski,,
niskie ryzyko,1074.2562013841816,1155.5939637989022,540.2193347946569,622.2439918870159,534.0368665895247,533.3499719118862,powiat,02,DOLNOŚLĄSKIE,0206,karkonoski,,
wysokie ryzyko,1174.7273522234152,1395.854699565941,736.294692298008,875.0278523394203,438.4326599254072,520.8268472265206,powiat,02,DOLNOŚLĄSKIE,0206,karkonoski,,
niskie ryzyko,6490.671726376191,7310.359555708803,4297.179952880081,5103.700209986646,2193.4917734961095,2206.659345722157,powiat,02,DOLNOŚLĄSKIE,0208,kłodzki,,
wysokie ryzyko,11570.29351215729,11038.75061657439,9289.564687342172,8922.302106269957,2280.7288248151176,2116.4485103044335,powiat,02,DOLNOŚLĄSKIE,0208,kłodzki,,
niskie ryzyko,4851.206127396603,5009.174671927473,2086.219024407727,2260.199991164724,2764.987102988876,2748.974680762749,powiat,02,DOLNOŚLĄSKIE,0209,legnicki,,
wysokie ryzyko,9302.068503674933,9164.460433019243,4846.081675837656,4674.763803811556,4455.986827837279,4489.69662920769,powiat,02,DOLNOŚLĄSKIE,0209,legnicki,,
niskie ryzyko,1956.8019407090776,1958.5487778728104,940.9438507305211,952.3842695371028,1015.8580899785562,1006.1645083357076,powiat,02,DOLNOŚLĄSKIE,0210,lubański,,
wysokie ryzyko,3035.115916389054,3288.1351205573383,2047.925662242793,2307.7758509368005,987.1902541462614,980.3592696205376,powiat,02,DOLNOŚLĄSKIE,0210,lubański,,
niskie ryzyko,433.0443955698902,424.22587017664296,198.992571566818,190.96510492255743,234.05182400307228,233.26076525408547,powiat,02,DOLNOŚLĄSKIE,0211,lubiński,,
wysokie ryzyko,618.7109521331375,617.7870703883297,414.54903948170295,412.1461823980452,204.16191265143456,205.64088799028448,powiat,02,DOLNOŚLĄSKIE,0211,lubiński,,
niskie ryzyko,753.03050624393,930.1862703092828,522.2687226659316,697.3341950241862,230.76178357799833,232.85207528509645,powiat,02,DOLNOŚLĄSKIE,0212,lwówecki,,
wysokie ryzyko,2087.9926258517944,1921.970121714103,1935.2646794003103,1769.801490294894,152.7279464514844,152.16863141920885,powiat,02,DOLNOŚLĄSKIE,0212,lwówecki,,
niskie ryzyko,329.9496563002822,313.8638249019512,204.2992261647729,188.990869039016,125.65043013550934,124.87295586293524,powiat,02,DOLNOŚLĄSKIE,0213,milicki,,
wysokie ryzyko,456.29464997926215,447.4731219359592,402.2423708212545,393.4208427779516,54.05227915800764,54.05227915800764,powiat,02,DOLNOŚLĄSKIE,0213,milicki,,
niskie ryzyko,66.79042502251414,65.5503961330966,47.575525227939835,46.33549633852229,19.214899794574315,19.21489979457431,powiat,02,DOLNOŚLĄSKIE,0214,oleśnicki,,
wysokie ryzyko,49.24867253663875,42.39888665820309,42.70584074332223,35.856054864886566,6.54283179331652,6.542831793316519,powiat,02,DOLNOŚLĄSKIE,0214,oleśnicki,,
niskie ryzyko,3336.963128134539,3382.3429715506736,2254.3302441505843,2363.6442524781623,1082.6328839839546,1018.6987190725106,powiat,02,DOLNOŚLĄSKIE,0215,oławski,,
wysokie ryzyko,6861.689664784935,7644.243292224716,5494.673823223112,6368.670487659246,1367.0158415618223,1275.572804565471,powiat,02,DOLNOŚLĄSKIE,0215,oławski,,
niskie ryzyko,111.77974412865709,113.0153715247188,105.10741598644393,106.34304338250564,6.672328142213159,6.672328142213159,powiat,02,DOLNOŚLĄSKIE,0216,polkowicki,,
