wojewodztwo,powiat,gmina,wojewodztwo_key,powiat_key,gmina_key,siren_records_without_gsm,unique_sites_without_gsm,integration_cost_records_pln,integration_cost_unique_sites_pln
OPOLSKIE,strzelecki,Izbicko,opolskie,strzelecki,izbicko,1,1,5000,5000
OPOLSKIE,strzelecki,Ujazd,opolskie,strzelecki,ujazd,1,1,5000,5000
OPOLSKIE,strzelecki,Zawadzkie,opolskie,strzelecki,zawadzkie,1,1,5000,5000
PODKARPACKIE,dębicki,Brzostek,podkarpackie,debicki,brzostek,1,1,5000,5000
PODKARPACKIE,dębicki,Czarna,podkarpackie,debicki,czarna,1,1,5000,5000
PODKARPACKIE,dębicki,Jodłowa,podkarpackie,debicki,jodlowa,1,1,5000,5000
PODKARPACKIE,leski,Cisna,podkarpackie,leski,cisna,1,0,5000,0
PODKARPACKIE,leżajski,Grodzisko Dolne,podkarpackie,lezajski,grodzisko_dolne,1,1,5000,5000
PODKARPACKIE,mielecki,Borowa,podkarpackie,mielecki,borowa,1,1,5000,5000
PODKARPACKIE,rzeszowski,Lubenia,podkarpackie,rzeszowski,lubenia,1,1,5000,5000
PODKARPACKIE,rzeszowski,Trzebownisko,podkarpackie,rzeszowski,trzebownisko,1,1,5000,5000
PODKARPACKIE,rzeszowski,Tyczyn,podkarpackie,rzeszowski,tyczyn,1,1,5000,5000
PODLASKIE,białostocki,Turośń Kościelna,podlaskie,bialostocki,turosn_koscielna,1,1,5000,5000
PODLASKIE,białostocki,Wasilków,podlaskie,bialostocki,wasilkow,1,1,5000,5000
PODLASKIE,hajnowski,Narewka,podlaskie,hajnowski,narewka,1,1,5000,5000
PODLASKIE,sokólski,Krynki,podlaskie,sokolski,krynki,1,1,5000,5000
PODLASKIE,suwalski,Rutka-Tartak,podlaskie,suwalski,rutka_tartak,1,1,5000,5000
PODLASKIE,łomżyński,Jedwabne,podlaskie,lomzynski,jedwabne,1,1,5000,5000
PODLASKIE,łomżyński,Przytuły,podlaskie,lomzynski,przytuly,1,1,5000,5000
PODLASKIE,łomżyński,Wizna,podlaskie,lomzynski,wizna,1,1,5000,5000
POMORSKIE,bytowski,Trzebielino,pomorskie,bytowski,trzebielino,1,1,5000,5000
POMORSKIE,kartuski,Chmielno,pomorskie,kartuski,chmielno,1,1,5000,5000
POMORSKIE,kartuski,Sulęczyno,pomorskie,kartuski,suleczyno,1,1,5000,5000
POMORSKIE,kościerski,Lipusz,pomorskie,koscierski,lipusz,1,1,5000,5000
POMORSKIE,pucki,Hel,pomorskie,pucki,hel,1,1,5000,5000
POMORSKIE,słupski,Damnica,pomorskie,slupski,damnica,1,1,5000,5000
POMORSKIE,słupski,Potęgowo,pomorskie,slupski,potegowo,1,1,5000,5000
POMORSKIE,wejherowski,Choczewo,pomorskie,wejherowski,choczewo,1,1,5000,5000
POMORSKIE,wejherowski,Linia,pomorskie,wejherowski,linia,1,1,5000,5000
WARMIŃSKO-MAZURSKIE,giżycki,Ryn,warminsko_mazurskie,gizycki,ryn,1,1,5000,5000
WARMIŃSKO-MAZURSKIE,giżycki,Wydminy,warminsko_mazurskie,gizycki,wydminy,1,1,5000,5000
WARMIŃSKO-MAZURSKIE,kętrzyński,Korsze,warminsko_mazurskie,ketrzynski,korsze,1,1,5000,5000
WARMIŃSKO-MAZURSKIE,kętrzyński,Kętrzyn,warminsko_mazurskie,ketrzynski,ketrzyn,1,1,5000,5000
WARMIŃSKO-MAZURSKIE,kętrzyński,Reszel,warminsko_mazurskie,ketrzynski,reszel,1,1,5000,5000
WARMIŃSKO-MAZURSKIE,lidzbarski,Kiwity,warminsko_mazurskie,lidzbarski,kiwity,1,1,5000,5000
WARMIŃSKO-MAZURSKIE,mrągowski,Piecki,warminsko_mazurskie,mragowski,piecki,1,1,5000,5000
WARMIŃSKO-MAZURSKIE,nowomiejski,Kurzętnik,warminsko_mazurskie,nowomiejski,kurzetnik,1,1,5000,5000
WARMIŃSKO-MAZURSKIE,olecki,Kowale Oleckie,warminsko_mazurskie,olecki,kowale_oleckie,1,1,5000,5000
WARMIŃSKO-MAZURSKIE,olecki,Wieliczki,warminsko_mazurskie,olecki,wieliczki,1,1,5000,5000
WARMIŃSKO-MAZURSKIE,olsztyński,Świątki,warminsko_mazurskie,olsztynski,swiatki,1,1,5000,5000
WARMIŃSKO-MAZURSKIE,ostródzki,Miłakowo,warminsko_mazurskie,ostrodzki,milakowo,1,1,5000,5000
WARMIŃSKO-MAZURSKIE,ostródzki,Ostróda,warminsko_mazurskie,ostrodzki,ostroda,1,1,5000,5000
WARMIŃSKO-MAZURSKIE,szczycieński,Szczytno,warminsko_mazurskie,szczycienski,szczytno,1,1,5000,5000
WIELKOPOLSKIE,czarnkowsko-trzcianecki,Krzyż Wielkopolski,wielkopolskie,czarnkowsko_trzcianecki,krzyz_wielkopolski,1,1,5000,5000
WIELKOPOLSKIE,gnieźnieński,Kłecko,wielkopolskie,gnieznienski,klecko,1,1,5000,5000
WIELKOPOLSKIE,gnieźnieński,Łubowo,wielkopolskie,gnieznienski,lubowo,1,1,5000,5000
WIELKOPOLSKIE,poznański,Kleszczewo,wielkopolskie,poznanski,kleszczewo,1,1,5000,5000
WIELKOPOLSKIE,poznański,Mosina,wielkopolskie,poznanski,mosina,1,1,5000,5000
WIELKOPOLSKIE,poznański,Suchy Las,wielkopolskie,poznanski,suchy_las,1,1,5000,5000
WIELKOPOLSKIE,szamotulski,Ostroróg,wielkopolskie,szamotulski,ostrorog,1,1,5000,5000
WIELKOPOLSKIE,wrzesiński,Miłosław,wielkopolskie,wrzesinski,miloslaw,1,1,5000,5000
WIELKOPOLSKIE,wrzesiński,Nekla,wielkopolskie,wrzesinski,nekla,1,1,5000,5000
WIELKOPOLSKIE,wrzesiński,Września,wielkopolskie,wrzesinski,wrzesnia,1,1,5000,5000
WIELKOPOLSKIE,śremski,Dolsk,wielkopolskie,sremski,dolsk,1,1,5000,5000
ZACHODNIOPOMORSKIE,choszczeński,Bierzwnik,zachodniopomorskie,choszczenski,bierzwnik,1,1,5000,5000
ZACHODNIOPOMORSKIE,choszczeński,Drawno,zachodniopomorskie,choszczenski,drawno,1,1,5000,5000
ZACHODNIOPOMORSKIE,choszczeński,Pełczyce,zachodniopomorskie,choszczenski,pelczyce,1,1,5000,5000
ZACHODNIOPOMORSKIE,drawski,Wierzchowo,zachodniopomorskie,drawski,wierzchowo,1,1,5000,5000
ZACHODNIOPOMORSKIE,kamieński,Dziwnów,zachodniopomorskie,kamienski,dziwnow,1,1,5000,5000
ZACHODNIOPOMORSKIE,koszaliński,Manowo,zachodniopomorskie,koszalinski,manowo,1,1,5000,5000
ZACHODNIOPOMORSKIE,koszaliński,Mielno,zachodniopomorskie,koszalinski,mielno,1,1,5000,5000
ZACHODNIOPOMORSKIE,kołobrzeski,Rymań,zachodniopomorskie,kolobrzeski,ryman,1,1,5000,5000
ZACHODNIOPOMORSKIE,kołobrzeski,Ustronie Morskie,zachodniopomorskie,kolobrzeski,ustronie_morskie,1,1,5000,5000
ZACHODNIOPOMORSKIE,myśliborski,Nowogródek Pomorski,zachodniopomorskie,mysliborski,nowogrodek_pomorski,1,1,5000,5000
ZACHODNIOPOMORSKIE,pyrzycki,Lipiany,zachodniopomorskie,pyrzycki,lipiany,1,0,5000,0
ZACHODNIOPOMORSKIE,stargardzki,Dobrzany,zachodniopomorskie,stargardzki,dobrzany,1,1,5000,5000
ZACHODNIOPOMORSKIE,stargardzki,Dolice,zachodniopomorskie,stargardzki,dolice,1,1,5000,5000
ZACHODNIOPOMORSKIE,stargardzki,Ińsko,zachodniopomorskie,stargardzki,insko,1,1,5000,5000
ZACHODNIOPOMORSKIE,stargardzki,Kobylanka,zachodniopomorskie,stargardzki,kobylanka,1,1,5000,5000
ZACHODNIOPOMORSKIE,stargardzki,Stara Dąbrowa,zachodniopomorskie,stargardzki,stara_dabrowa,1,1,5000,5000
ŁÓDZKIE,bełchatowski,Kleszczów,lodzkie,belchatowski,kleszczow,1,1,5000,5000
ŁÓDZKIE,pabianicki,Ksawerów,lodzkie,pabianicki,ksawerow,1,1,5000,5000
ŁÓDZKIE,radomszczański,Kamieńsk,lodzkie,radomszczanski,kamiensk,1,1,5000,5000
ŁÓDZKIE,radomszczański,Żytno,lodzkie,radomszczanski,zytno,1,1,5000,5000
ŁÓDZKIE,sieradzki,Klonowa,lodzkie,sieradzki,klonowa,1,1,5000,5000
ŁÓDZKIE,skierniewicki,Lipce Reymontowskie,lodzkie,skierniewicki,lipce_reymontowskie,1,1,5000,5000
ŁÓDZKIE,tomaszowski,Będków,lodzkie,tomaszowski,bedkow,1,1,5000,5000
ŁÓDZKIE,wieluński,Konopnica,lodzkie,wielunski,konopnica,1,1,5000,5000
ŁÓDZKIE,wieluński,Ostrówek,lodzkie,wielunski,ostrowek,1,1,5000,5000
ŁÓDZKIE,wieluński,Skomlin,lodzkie,wielunski,skomlin,1,1,5000,5000
ŁÓDZKIE,łowicki,Domaniewice,lodzkie,lowicki,domaniewice,1,1,5000,5000
ŁÓDZKIE,łódzki wschodni,Brójce,lodzkie,lodzki_wschodni,brojce,1,1,5000,5000
ŁÓDZKIE,łódzki wschodni,Rzgów,lodzkie,lodzki_wschodni,rzgow,1,1,5000,5000
ŁÓDZKIE,łęczycki,Daszyna,lodzkie,leczycki,daszyna,1,1,5000,5000
ŁÓDZKIE,łęczycki,Witonia,lodzkie,leczycki,witonia,1,1,5000,5000
ŚLĄSKIE,bielski,Bestwina,slaskie,bielski,bestwina,1,1,5000,5000
ŚLĄSKIE,bielski,Buczkowice,slaskie,bielski,buczkowice,1,1,5000,5000
ŚLĄSKIE,bielski,Jaworze,slaskie,bielski,jaworze,1,1,5000,5000
ŚLĄSKIE,bielski,Szczyrk,slaskie,bielski,szczyrk,1,1,5000,5000
ŚLĄSKIE,bieruńsko-lędziński,Imielin,slaskie,bierunsko_ledzinski,imielin,1,1,5000,5000
ŚLĄSKIE,cieszyński,Goleszów,slaskie,cieszynski,goleszow,1,1,5000,5000
ŚLĄSKIE,cieszyński,Istebna,slaskie,cieszynski,istebna,1,1,5000,5000
ŚLĄSKIE,m. Mysłowice,Mysłowice,slaskie,m_myslowice,myslowice,1,1,5000,5000
ŚLĄSKIE,mikołowski,Ornontowice,slaskie,mikolowski,ornontowice,1,1,5000,5000
ŚLĄSKIE,pszczyński,Kobiór,slaskie,pszczynski,kobior,1,1,5000,5000
ŚLĄSKIE,pszczyński,Pawłowice,slaskie,pszczynski,pawlowice,1,1,5000,5000
ŚLĄSKIE,raciborski,Krzyżanowice,slaskie,raciborski,krzyzanowice,1,1,5000,5000
ŚLĄSKIE,raciborski,Nędza,slaskie,raciborski,nedza,1,1,5000,5000
ŚLĄSKIE,wodzisławski,Marklowice,slaskie,wodzislawski,marklowice,1,0,5000,0
ŚLĄSKIE,żywiecki,Jeleśnia,slaskie,zywiecki,jelesnia,1,1,5000,5000
ŚLĄSKIE,żywiecki,Lipowa,slaskie,zywiecki,lipowa,1,1,5000,5000
ŚLĄSKIE,żywiecki,Rajcza,slaskie,zywiecki,rajcza,1,1,5000,5000
ŚLĄSKIE,żywiecki,Ujsoły,slaskie,zywiecki,ujsoly,1,1,5000,5000
ŚLĄSKIE,żywiecki,Świnna,slaskie,zywiecki,swinna,1,1,5000,5000
ŚWIĘTOKRZYSKIE,sandomierski,Łoniów,swietokrzyskie,sandomierski,loniow,1,1,5000,5000
ŚWIĘTOKRZYSKIE,skarżyski,Suchedniów,swietokrzyskie,skarzyski,suchedniow,1,1,5000,5000
ŚWIĘTOKRZYSKIE,staszowski,Łubnice,swietokrzyskie,staszowski,lubnice,1,1,5000,5000
