wojewodztwo,powiat,gmina,wojewodztwo_key,powiat_key,gmina_key,siren_records_without_gsm,unique_sites_without_gsm,integration_cost_records_pln,integration_cost_unique_sites_pln
OPOLSKIE,strzelecki,Leśnica,opolskie,strzelecki,lesnica,2,2,10000,10000
PODKARPACKIE,brzozowski,Domaradz,podkarpackie,brzozowski,domaradz,2,2,10000,10000
PODKARPACKIE,brzozowski,Haczów,podkarpackie,brzozowski,haczow,2,2,10000,10000
PODKARPACKIE,brzozowski,Jasienica Rosielna,podkarpackie,brzozowski,jasienica_rosielna,2,2,10000,10000
PODKARPACKIE,kolbuszowski,Majdan Królewski,podkarpackie,kolbuszowski,majdan_krolewski,2,2,10000,10000
PODKARPACKIE,krośnieński,Krościenko Wyżne,podkarpackie,krosnienski,kroscienko_wyzne,2,2,10000,10000
PODKARPACKIE,niżański,Jarocin,podkarpackie,nizanski,jarocin,2,2,10000,10000
PODKARPACKIE,przemyski,Krasiczyn,podkarpackie,przemyski,krasiczyn,2,2,10000,10000
PODKARPACKIE,rzeszowski,Świlcza,podkarpackie,rzeszowski,swilcza,2,2,10000,10000
PODKARPACKIE,stalowowolski,Bojanów,podkarpackie,stalowowolski,bojanow,2,2,10000,10000
PODKARPACKIE,stalowowolski,Zaklików,podkarpackie,stalowowolski,zaklikow,2,2,10000,10000
PODLASKIE,białostocki,Dobrzyniewo Duże,podlaskie,bialostocki,dobrzyniewo_duze,2,2,10000,10000
PODLASKIE,białostocki,Gródek,podlaskie,bialostocki,grodek,2,1,10000,5000
PODLASKIE,białostocki,Poświętne,podlaskie,bialostocki,poswietne,2,2,10000,10000
PODLASKIE,białostocki,Zawady,podlaskie,bialostocki,zawady,2,0,10000,0
PODLASKIE,bielski,Brańsk,podlaskie,bielski,bransk,2,2,10000,10000
PODLASKIE,bielski,Rudka,podlaskie,bielski,rudka,2,2,10000,10000
PODLASKIE,hajnowski,Białowieża,podlaskie,hajnowski,bialowieza,2,2,10000,10000
PODLASKIE,kolneński,Turośl,podlaskie,kolnenski,turosl,2,2,10000,10000
PODLASKIE,moniecki,Trzcianne,podlaskie,moniecki,trzcianne,2,2,10000,10000
PODLASKIE,sejneński,Puńsk,podlaskie,sejnenski,punsk,2,2,10000,10000
PODLASKIE,siemiatycki,Nurzec-Stacja,podlaskie,siemiatycki,nurzec_stacja,2,2,10000,10000
PODLASKIE,sokólski,Nowy Dwór,podlaskie,sokolski,nowy_dwor,2,2,10000,10000
PODLASKIE,sokólski,Sidra,podlaskie,sokolski,sidra,2,2,10000,10000
PODLASKIE,suwalski,Przerośl,podlaskie,suwalski,przerosl,2,2,10000,10000
PODLASKIE,wysokomazowiecki,Kobylin-Borzymy,podlaskie,wysokomazowiecki,kobylin_borzymy,2,2,10000,10000
PODLASKIE,wysokomazowiecki,Sokoły,podlaskie,wysokomazowiecki,sokoly,2,2,10000,10000
POMORSKIE,chojnicki,Konarzyny,pomorskie,chojnicki,konarzyny,2,1,10000,5000
POMORSKIE,człuchowski,Koczała,pomorskie,czluchowski,koczala,2,2,10000,10000
POMORSKIE,człuchowski,Przechlewo,pomorskie,czluchowski,przechlewo,2,2,10000,10000
POMORSKIE,człuchowski,Rzeczenica,pomorskie,czluchowski,rzeczenica,2,2,10000,10000
POMORSKIE,gdański,Kolbudy,pomorskie,gdanski,kolbudy,2,2,10000,10000
POMORSKIE,gdański,Przywidz,pomorskie,gdanski,przywidz,2,2,10000,10000
POMORSKIE,lęborski,Łeba,pomorskie,leborski,leba,2,2,10000,10000
POMORSKIE,malborski,Miłoradz,pomorskie,malborski,miloradz,2,2,10000,10000
POMORSKIE,pucki,Kosakowo,pomorskie,pucki,kosakowo,2,2,10000,10000
POMORSKIE,starogardzki,Bobowo,pomorskie,starogardzki,bobowo,2,2,10000,10000
POMORSKIE,tczewski,Subkowy,pomorskie,tczewski,subkowy,2,2,10000,10000
WARMIŃSKO-MAZURSKIE,bartoszycki,Sępopol,warminsko_mazurskie,bartoszycki,sepopol,2,2,10000,10000
WARMIŃSKO-MAZURSKIE,giżycki,Kruklanki,warminsko_mazurskie,gizycki,kruklanki,2,1,10000,5000
WARMIŃSKO-MAZURSKIE,gołdapski,Dubeninki,warminsko_mazurskie,goldapski,dubeninki,2,2,10000,10000
WARMIŃSKO-MAZURSKIE,iławski,Susz,warminsko_mazurskie,ilawski,susz,2,2,10000,10000
WARMIŃSKO-MAZURSKIE,kętrzyński,Barciany,warminsko_mazurskie,ketrzynski,barciany,2,2,10000,10000
WARMIŃSKO-MAZURSKIE,lidzbarski,Lubomino,warminsko_mazurskie,lidzbarski,lubomino,2,2,10000,10000
WARMIŃSKO-MAZURSKIE,mrągowski,Mikołajki,warminsko_mazurskie,mragowski,mikolajki,2,2,10000,10000
WARMIŃSKO-MAZURSKIE,nowomiejski,Biskupiec,warminsko_mazurskie,nowomiejski,biskupiec,2,2,10000,10000
WARMIŃSKO-MAZURSKIE,olsztyński,Dobre Miasto,warminsko_mazurskie,olsztynski,dobre_miasto,2,2,10000,10000
WARMIŃSKO-MAZURSKIE,ostródzki,Łukta,warminsko_mazurskie,ostrodzki,lukta,2,2,10000,10000
WARMIŃSKO-MAZURSKIE,węgorzewski,Budry,warminsko_mazurskie,wegorzewski,budry,2,2,10000,10000
WIELKOPOLSKIE,chodzieski,Margonin,wielkopolskie,chodzieski,margonin,2,1,10000,5000
WIELKOPOLSKIE,gnieźnieński,Czerniejewo,wielkopolskie,gnieznienski,czerniejewo,2,2,10000,10000
WIELKOPOLSKIE,gnieźnieński,Mieleszyn,wielkopolskie,gnieznienski,mieleszyn,2,2,10000,10000
WIELKOPOLSKIE,kolski,Przedecz,wielkopolskie,kolski,przedecz,2,2,10000,10000
WIELKOPOLSKIE,koniński,Krzymów,wielkopolskie,koninski,krzymow,2,2,10000,10000
WIELKOPOLSKIE,krotoszyński,Kobylin,wielkopolskie,krotoszynski,kobylin,2,2,10000,10000
WIELKOPOLSKIE,kępiński,Rychtal,wielkopolskie,kepinski,rychtal,2,2,10000,10000
WIELKOPOLSKIE,kępiński,Trzcinica,wielkopolskie,kepinski,trzcinica,2,2,10000,10000
WIELKOPOLSKIE,nowotomyski,Miedzichowo,wielkopolskie,nowotomyski,miedzichowo,2,2,10000,10000
WIELKOPOLSKIE,szamotulski,Obrzycko,wielkopolskie,szamotulski,obrzycko,2,2,10000,10000
WIELKOPOLSKIE,słupecki,Powidz,wielkopolskie,slupecki,powidz,2,2,10000,10000
WIELKOPOLSKIE,turecki,Przykona,wielkopolskie,turecki,przykona,2,2,10000,10000
WIELKOPOLSKIE,wrzesiński,Kołaczkowo,wielkopolskie,wrzesinski,kolaczkowo,2,2,10000,10000
WIELKOPOLSKIE,złotowski,Jastrowie,wielkopolskie,zlotowski,jastrowie,2,2,10000,10000
WIELKOPOLSKIE,złotowski,Zakrzewo,wielkopolskie,zlotowski,zakrzewo,2,2,10000,10000
WIELKOPOLSKIE,średzki,Dominowo,wielkopolskie,sredzki,dominowo,2,1,10000,5000
ZACHODNIOPOMORSKIE,choszczeński,Recz,zachodniopomorskie,choszczenski,recz,2,2,10000,10000
ZACHODNIOPOMORSKIE,goleniowski,Przybiernów,zachodniopomorskie,goleniowski,przybiernow,2,2,10000,10000
ZACHODNIOPOMORSKIE,gryficki,Karnice,zachodniopomorskie,gryficki,karnice,2,2,10000,10000
ZACHODNIOPOMORSKIE,kamieński,Kamień Pomorski,zachodniopomorskie,kamienski,kamien_pomorski,2,2,10000,10000
ZACHODNIOPOMORSKIE,kołobrzeski,Dygowo,zachodniopomorskie,kolobrzeski,dygowo,2,2,10000,10000
ZACHODNIOPOMORSKIE,kołobrzeski,Gościno,zachodniopomorskie,kolobrzeski,goscino,2,2,10000,10000
ZACHODNIOPOMORSKIE,policki,Nowe Warpno,zachodniopomorskie,policki,nowe_warpno,2,2,10000,10000
ZACHODNIOPOMORSKIE,stargardzki,Chociwel,zachodniopomorskie,stargardzki,chociwel,2,2,10000,10000
