teryt_woj,wojewodztwo,teryt_pow,powiat,risk_class,pop_night_total,pop_day_total,pop_night_ge65,pop_day_ge65,pop_night_outside,pop_day_outside,pct_ge65_of_total,pct_outside_ge65_of_total
02,DOLNOŚLĄSKIE,0261,Jelenia Góra,niskie ryzyko,1775.9071035162196,1604.9595010242915,1677.51456005255,1524.779515997224,98.39254346366958,80.17998502706746,94.46,5.54
02,DOLNOŚLĄSKIE,0261,Jelenia Góra,wysokie ryzyko,3658.870354895245,3731.061215866116,3532.82381587457,3553.3187966373616,126.0465390206746,177.74241922875427,96.56,3.44
02,DOLNOŚLĄSKIE,0262,Legnica,niskie ryzyko,8684.302512418015,8596.863679944187,8537.15816893081,8443.382305382655,147.14434348720485,153.4813745615314,98.31,1.69
02,DOLNOŚLĄSKIE,0262,Legnica,wysokie ryzyko,75371.72646954069,75622.87690109551,73025.38396767237,73193.6324524389,2346.3425018683156,2429.2444486566205,96.89,3.11
02,DOLNOŚLĄSKIE,0265,Wałbrzych,niskie ryzyko,68.57406026220728,68.4888278605923,30.210481085886915,30.56916804060076,38.36357917632037,37.919659819991544,44.06,55.94
02,DOLNOŚLĄSKIE,0265,Wałbrzych,wysokie ryzyko,648.0604012851704,681.7957793822618,529.3227043676902,566.8991161762699,118.73769691748016,114.89666320599194,81.68,18.32
02,DOLNOŚLĄSKIE,0264,Wrocław,niskie ryzyko,52221.57158685453,52118.57455562795,47986.32761477588,47586.89022934786,4235.243972078648,4531.684326280081,91.89,8.11
02,DOLNOŚLĄSKIE,0264,Wrocław,wysokie ryzyko,100166.60111698035,98516.77039340218,95224.4590290759,93279.05564681016,4942.1420879044845,5237.714746592023,95.07,4.93
02,DOLNOŚLĄSKIE,0201,bolesławiecki,niskie ryzyko,793.2729166761703,818.0016260036966,295.9124212120386,297.8833737248393,497.36049546413176,520.1182522788574,37.3,62.7
02,DOLNOŚLĄSKIE,0201,bolesławiecki,wysokie ryzyko,393.38605905511065,396.70523411090016,99.34568743189048,96.9789516764651,294.04037162322015,299.7262824344351,25.25,74.75
02,DOLNOŚLĄSKIE,0202,dzierżoniowski,niskie ryzyko,1216.3807927120456,1156.7090530283665,878.6767669558552,828.6651858154312,337.70402575619056,328.04386721293497,72.24,27.76
02,DOLNOŚLĄSKIE,0202,dzierżoniowski,wysokie ryzyko,1946.2496078308416,1866.3303335599355,1732.9548545696384,1653.4259357956753,213.2947532612033,212.90439776426024,89.04,10.96
02,DOLNOŚLĄSKIE,0204,górowski,niskie ryzyko,1428.8388968101312,1412.9083690391694,574.7484331236067,582.0952399945387,854.0904636865243,830.8131290446308,40.22,59.78
02,DOLNOŚLĄSKIE,0204,górowski,wysokie ryzyko,2067.609200031885,2083.1798930706013,1149.625024844432,1149.180439873854,917.9841751874524,933.9994531967473,55.6,44.4
02,DOLNOŚLĄSKIE,0203,głogowski,niskie ryzyko,3344.480607533673,3306.1205968696327,1907.7115942385085,1815.3589708679197,1436.769013295165,1490.7616260017126,57.04,42.96
02,DOLNOŚLĄSKIE,0203,głogowski,wysokie ryzyko,4743.134378455354,4784.191695479358,2261.836719756988,2393.795794593776,2481.297658698366,2390.395900885581,47.69,52.31
02,DOLNOŚLĄSKIE,0205,jaworski,niskie ryzyko,604.2052989224803,596.9492749301446,391.2311059511248,384.1841367873212,212.9741929713556,212.76513814282345,64.75,35.25
02,DOLNOŚLĄSKIE,0205,jaworski,wysokie ryzyko,4326.707129435417,3957.4936188784495,4024.7620987030487,3678.874825723088,301.94503073236905,278.61879315536163,93.02,6.98
02,DOLNOŚLĄSKIE,0207,kamiennogórski,niskie ryzyko,1958.100005414372,1870.0577359159577,1221.9295817847403,1142.8993198996625,736.1704236296312,727.158416016295,62.4,37.6
02,DOLNOŚLĄSKIE,0207,kamiennogórski,wysokie ryzyko,8847.386607406705,8585.076443351654,8249.614751326017,7994.724937829336,597.7718560806879,590.3515055223165,93.24,6.76
02,DOLNOŚLĄSKIE,0206,karkonoski,niskie ryzyko,1074.2562013841816,1155.5939637989022,540.2193347946569,622.2439918870159,534.0368665895247,533.3499719118862,50.29,49.71
02,DOLNOŚLĄSKIE,0206,karkonoski,wysokie ryzyko,1174.7273522234152,1395.854699565941,736.294692298008,875.0278523394203,438.4326599254072,520.8268472265206,62.68,37.32
02,DOLNOŚLĄSKIE,0208,kłodzki,niskie ryzyko,6490.671726376191,7310.359555708803,4297.179952880081,5103.700209986646,2193.4917734961095,2206.659345722157,66.21,33.79
02,DOLNOŚLĄSKIE,0208,kłodzki,wysokie ryzyko,11570.29351215729,11038.75061657439,9289.564687342172,8922.302106269957,2280.7288248151176,2116.4485103044335,80.29,19.71
02,DOLNOŚLĄSKIE,0209,legnicki,niskie ryzyko,4851.206127396603,5009.174671927473,2086.219024407727,2260.199991164724,2764.987102988876,2748.974680762749,43.0,57.0
02,DOLNOŚLĄSKIE,0209,legnicki,wysokie ryzyko,9302.068503674933,9164.460433019243,4846.081675837656,4674.763803811556,4455.986827837279,4489.69662920769,52.1,47.9
02,DOLNOŚLĄSKIE,0210,lubański,niskie ryzyko,1956.8019407090776,1958.5487778728104,940.9438507305211,952.3842695371028,1015.8580899785562,1006.1645083357076,48.09,51.91
02,DOLNOŚLĄSKIE,0210,lubański,wysokie ryzyko,3035.115916389054,3288.1351205573383,2047.925662242793,2307.7758509368005,987.1902541462614,980.3592696205376,67.47,32.53
02,DOLNOŚLĄSKIE,0211,lubiński,niskie ryzyko,433.0443955698902,424.22587017664296,198.992571566818,190.96510492255743,234.05182400307228,233.26076525408547,45.95,54.05
02,DOLNOŚLĄSKIE,0211,lubiński,wysokie ryzyko,618.7109521331375,617.7870703883297,414.54903948170295,412.1461823980452,204.16191265143456,205.64088799028448,67.0,33.0
02,DOLNOŚLĄSKIE,0212,lwówecki,niskie ryzyko,753.03050624393,930.1862703092828,522.2687226659316,697.3341950241862,230.76178357799833,232.85207528509645,69.36,30.64
02,DOLNOŚLĄSKIE,0212,lwówecki,wysokie ryzyko,2087.9926258517944,1921.970121714103,1935.2646794003103,1769.801490294894,152.7279464514844,152.16863141920885,92.69,7.31
02,DOLNOŚLĄSKIE,0213,milicki,niskie ryzyko,329.9496563002822,313.8638249019512,204.2992261647729,188.990869039016,125.65043013550934,124.87295586293524,61.92,38.08
02,DOLNOŚLĄSKIE,0213,milicki,wysokie ryzyko,456.29464997926215,447.4731219359592,402.2423708212545,393.4208427779516,54.05227915800764,54.05227915800764,88.15,11.85
02,DOLNOŚLĄSKIE,0214,oleśnicki,niskie ryzyko,66.79042502251414,65.5503961330966,47.575525227939835,46.33549633852229,19.214899794574315,19.21489979457431,71.23,28.77
02,DOLNOŚLĄSKIE,0214,oleśnicki,wysokie ryzyko,49.24867253663875,42.39888665820309,42.70584074332223,35.856054864886566,6.54283179331652,6.542831793316519,86.71,13.29
02,DOLNOŚLĄSKIE,0215,oławski,niskie ryzyko,3336.963128134539,3382.3429715506736,2254.3302441505843,2363.6442524781623,1082.6328839839546,1018.6987190725106,67.56,32.44
02,DOLNOŚLĄSKIE,0215,oławski,wysokie ryzyko,6861.689664784935,7644.243292224716,5494.673823223112,6368.670487659246,1367.0158415618223,1275.572804565471,80.08,19.92
02,DOLNOŚLĄSKIE,0216,polkowicki,niskie ryzyko,111.77974412865709,113.0153715247188,105.10741598644393,106.34304338250564,6.672328142213159,6.672328142213159,94.03,5.97
02,DOLNOŚLĄSKIE,0216,polkowicki,wysokie ryzyko,81.1149195916349,77.3835525545601,81.1149195916349,77.3835525545601,0.0,0.0,100.0,0.0
02,DOLNOŚLĄSKIE,0217,strzeliński,niskie ryzyko,497.0512433129289,455.81264788368264,375.6168755003974,334.5053956230514,121.43436781253152,121.3072522606312,75.57,24.43
02,DOLNOŚLĄSKIE,0217,strzeliński,wysokie ryzyko,429.2580709957125,380.1185290157,399.75461917565895,350.6150771956465,29.50345182005352,29.503451820053517,93.13,6.87
02,DOLNOŚLĄSKIE,0220,trzebnicki,niskie ryzyko,1910.492829306648,1847.3570716718264,1032.5828512831215,982.3093562996152,877.9099780235263,865.0477153722111,54.05,45.95
02,DOLNOŚLĄSKIE,0220,trzebnicki,wysokie ryzyko,3090.61054223896,3026.379780114497,2134.397495944919,2084.290175308084,956.2130462940416,942.0896048064128,69.06,30.94
02,DOLNOŚLĄSKIE,0221,wałbrzyski,niskie ryzyko,402.59194242909587,397.42473227100606,310.36574346617573,286.6232565465479,92.22619896292014,110.80147572445811,77.09,22.91
02,DOLNOŚLĄSKIE,0221,wałbrzyski,wysokie ryzyko,213.77554885146728,201.38628823674853,168.82440805063266,158.04655186760692,44.95114080083464,43.339736369141605,78.97,21.03
02,DOLNOŚLĄSKIE,0222,wołowski,niskie ryzyko,1265.817484029523,1259.7622532009946,632.546311781315,640.5995224038245,633.2711722482081,619.1627307971702,49.97,50.03
02,DOLNOŚLĄSKIE,0222,wołowski,wysokie ryzyko,1989.1263540263983,1989.7386755009993,1360.561792550718,1356.5873770145076,628.5645614756808,633.1512984864917,68.4,31.6
02,DOLNOŚLĄSKIE,0223,wrocławski,niskie ryzyko,10950.78694429478,10731.577165547576,5424.457587105575,5267.684960131197,5526.329357189207,5463.892205416378,49.53,50.47
02,DOLNOŚLĄSKIE,0223,wrocławski,wysokie ryzyko,14721.340427700892,14997.15491318355,7788.886937623353,7863.326176840472,6932.453490077541,7133.828736343079,52.91,47.09
02,DOLNOŚLĄSKIE,0225,zgorzelecki,niskie ryzyko,977.8187212754992,953.5509771610292,707.0987042103962,695.3128150534394,270.72001706510287,258.2381621075899,72.31,27.69
02,DOLNOŚLĄSKIE,0225,zgorzelecki,wysokie ryzyko,1672.6952498376631,1830.1110725147205,1436.9255933199477,1588.1478873720507,235.76965651771584,241.96318514266991,85.9,14.1
02,DOLNOŚLĄSKIE,0224,ząbkowicki,niskie ryzyko,721.3682554450459,691.7078852516681,622.5921144411546,574.8501067563482,98.77614100389115,116.85777849531996,86.31,13.69
02,DOLNOŚLĄSKIE,0224,ząbkowicki,wysokie ryzyko,1580.0247792761256,1891.5636322547452,1481.202909326709,1807.5387501341731,98.82186994941652,84.02488212057222,93.75,6.25
02,DOLNOŚLĄSKIE,0226,złotoryjski,niskie ryzyko,739.3776846891726,715.2882225981358,373.9058123113835,355.7430509505555,365.47187237778905,359.54517164758033,50.57,49.43
02,DOLNOŚLĄSKIE,0226,złotoryjski,wysokie ryzyko,1098.1206348061733,824.2137461681225,593.9829855659348,332.74896936650686,504.13764924023855,491.4647768016157,54.09,45.91
02,DOLNOŚLĄSKIE,0218,średzki,niskie ryzyko,2194.9487239818045,2184.4741996350717,405.5384767034196,413.4184131066839,1789.4102472783843,1771.0557865283877,18.48,81.52
02,DOLNOŚLĄSKIE,0218,średzki,wysokie ryzyko,2141.748470647955,2147.1430962952754,484.8409972243731,485.9095238137092,1656.907473423582,1661.2335724815662,22.64,77.36
02,DOLNOŚLĄSKIE,0219,świdnicki,niskie ryzyko,3472.4870685608676,3299.8402009056977,1268.8329219969114,1237.9272460589614,2203.654146563956,2061.9129548467367,36.54,63.46
02,DOLNOŚLĄSKIE,0219,świdnicki,wysokie ryzyko,8567.703715472107,8846.799504696555,2414.5842468708206,2341.678516008862,6153.119468601287,6505.120988687694,28.18,71.82
04,KUJAWSKO-POMORSKIE,0461,Bydgoszcz,niskie ryzyko,2435.7366260685344,2248.363273485287,1652.209954805233,1492.569168615688,783.5266712633011,755.7941048695991,67.83,32.17
04,KUJAWSKO-POMORSKIE,0461,Bydgoszcz,wysokie ryzyko,5358.448028164148,5850.374253279776,4230.975151400939,4693.345524303285,1127.47287676321,1157.0287289764904,78.96,21.04
04,KUJAWSKO-POMORSKIE,0462,Grudziądz,niskie ryzyko,265.60930215888527,246.41376495460625,100.33792209516504,83.14081917742755,165.27138006372024,163.27294577717868,37.78,62.22
04,KUJAWSKO-POMORSKIE,0462,Grudziądz,wysokie ryzyko,361.02228559872583,855.0794436749985,243.2728403807483,740.3951791386853,117.74944521797752,114.68426453631324,67.38,32.62
04,KUJAWSKO-POMORSKIE,0463,Toruń,niskie ryzyko,1101.1342189470824,1201.4474646915646,607.7809794451006,752.2513530982708,493.353239501982,449.1961115932937,55.2,44.8
04,KUJAWSKO-POMORSKIE,0463,Toruń,wysokie ryzyko,1400.0825874502416,1841.2623018145105,567.4941338437934,1007.4477347660992,832.5884536064483,833.8145670484112,40.53,59.47
04,KUJAWSKO-POMORSKIE,0464,Włocławek,niskie ryzyko,977.5187792771844,1311.1914790117744,126.17640512422842,118.85900696381088,851.3423741529559,1192.3324720479636,12.91,87.09
04,KUJAWSKO-POMORSKIE,0464,Włocławek,wysokie ryzyko,3652.9027850341786,3128.752041901136,62.68202538492806,52.77872657907432,3590.220759649251,3075.973315322062,1.72,98.28
04,KUJAWSKO-POMORSKIE,0401,aleksandrowski,niskie ryzyko,2967.9528245430283,3004.568034702823,2653.164726015805,2703.343931840298,314.7880985272234,301.2241028625248,89.39,10.61
04,KUJAWSKO-POMORSKIE,0401,aleksandrowski,wysokie ryzyko,5861.409137330588,5455.97321412123,5789.412194913784,5385.992939342165,71.9969424168036,69.98027477906408,98.77,1.23
04,KUJAWSKO-POMORSKIE,0402,brodnicki,niskie ryzyko,198.7442187966055,182.12021074145892,190.72282161456516,175.15786206836543,8.02139718204037,6.962348673093489,95.96,4.04
04,KUJAWSKO-POMORSKIE,0402,brodnicki,wysokie ryzyko,555.9255782939249,694.9236364285304,463.2844332727578,645.2944762148524,92.64114502116718,49.62916021367799,83.34,16.66
04,KUJAWSKO-POMORSKIE,0403,bydgoski,niskie ryzyko,2976.1038101495483,2967.031586203116,1280.288990347317,1275.8606618165786,1695.8148198022309,1691.1709243865373,43.02,56.98
04,KUJAWSKO-POMORSKIE,0403,bydgoski,wysokie ryzyko,5368.798664959412,5266.23500929974,4221.465351574097,4090.168724157393,1147.3333133853153,1176.0662851423472,78.63,21.37
04,KUJAWSKO-POMORSKIE,0404,chełmiński,niskie ryzyko,3616.78204222108,3501.8282344529775,869.7254011378164,871.8132991643997,2747.0566410832635,2630.014935288578,24.05,75.95
04,KUJAWSKO-POMORSKIE,0404,chełmiński,wysokie ryzyko,1794.7938646398616,1635.9965316901455,210.08803766147764,199.42091805902996,1584.705826978384,1436.575613631116,11.71,88.29
04,KUJAWSKO-POMORSKIE,0405,golubsko-dobrzyński,niskie ryzyko,199.3528742976774,315.56294631437754,24.879039769719743,22.89701287678629,174.47383452795765,292.6659334375912,12.48,87.52
04,KUJAWSKO-POMORSKIE,0405,golubsko-dobrzyński,wysokie ryzyko,30.680344422248098,32.084157748007534,0.0,0.0,30.680344422248098,32.084157748007534,0.0,100.0
04,KUJAWSKO-POMORSKIE,0406,grudziądzki,niskie ryzyko,1292.185239145638,1288.1300209628723,762.4492299862933,761.085913835216,529.7360091593447,527.0441071276566,59.0,41.0
04,KUJAWSKO-POMORSKIE,0406,grudziądzki,wysokie ryzyko,484.6688351337287,478.68979665721486,245.69266004729815,241.46597718516975,238.9761750864306,237.22381947204508,50.69,49.31
04,KUJAWSKO-POMORSKIE,0407,inowrocławski,niskie ryzyko,822.5102534544372,814.8996040328699,631.0700962115328,629.6912879655509,191.4401572429045,185.208316067319,76.72,23.28
04,KUJAWSKO-POMORSKIE,0407,inowrocławski,wysokie ryzyko,1032.9448717675757,1078.660408510043,981.25964691255,1026.9751836550176,51.685224855025346,51.685224855025346,95.0,5.0
04,KUJAWSKO-POMORSKIE,0408,lipnowski,niskie ryzyko,190.06179963461688,188.15322661881825,158.49352252104222,157.3071679987434,31.568277113574656,30.8460586200748,83.39,16.61
04,KUJAWSKO-POMORSKIE,0408,lipnowski,wysokie ryzyko,228.36070160386632,220.5205098835131,220.48570160386632,212.6455098835131,7.875,7.875,96.55,3.45
04,KUJAWSKO-POMORSKIE,0409,mogileński,niskie ryzyko,26.50632953590999,26.49730858039971,1.9757379689617292,1.9757379689617292,24.530591566948264,24.52157061143798,7.45,92.55
04,KUJAWSKO-POMORSKIE,0409,mogileński,wysokie ryzyko,3.0,3.0,3.0,3.0,0.0,0.0,100.0,0.0
04,KUJAWSKO-POMORSKIE,0410,nakielski,niskie ryzyko,575.160082822106,634.296653170732,415.8093148577693,476.032082595826,159.35076796433668,158.2645705749061,72.29,27.71
04,KUJAWSKO-POMORSKIE,0410,nakielski,wysokie ryzyko,510.43010831982895,548.9737849755506,391.5818675712064,431.76064704439193,118.84824074862252,117.21313793115868,76.72,23.28
04,KUJAWSKO-POMORSKIE,0411,radziejowski,niskie ryzyko,35.3958785277988,33.41265161783055,10.566155917465062,8.60748021325437,24.82972261033374,24.80517140457618,29.85,70.15
04,KUJAWSKO-POMORSKIE,0411,radziejowski,wysokie ryzyko,2.549328877870577,2.638387199681795,2.4517026297253968,2.451702629725397,0.0976262481451803,0.1866845699563976,96.17,3.83
04,KUJAWSKO-POMORSKIE,0412,rypiński,niskie ryzyko,41.8227395911316,39.56820873663943,27.06204816799991,24.82094611701106,14.760691423131684,14.747262619628364,64.71,35.29
04,KUJAWSKO-POMORSKIE,0412,rypiński,wysokie ryzyko,7.10220048263627,7.30530312227323,7.10220048263627,7.30530312227323,0.0,0.0,100.0,0.0
04,KUJAWSKO-POMORSKIE,0413,sępoleński,niskie ryzyko,5.320812658782193,4.512541918423927,5.320812658782193,4.512541918423927,0.0,0.0,100.0,0.0
04,KUJAWSKO-POMORSKIE,0415,toruński,niskie ryzyko,4704.40344733381,4745.4217495262355,1736.9717888275536,1707.9093698198851,2967.431658506256,3037.5123797063493,36.92,63.08
04,KUJAWSKO-POMORSKIE,0415,toruński,wysokie ryzyko,3804.234186351027,3730.649906817806,1521.0717530777397,1511.9856177925276,2283.1624332732868,2218.6642890252783,39.98,60.02
04,KUJAWSKO-POMORSKIE,0416,tucholski,niskie ryzyko,10.090029776404798,9.821418106525286,4.787795961325137,4.787795961325137,5.302233815079661,5.03362214520015,47.45,52.55
04,KUJAWSKO-POMORSKIE,0416,tucholski,wysokie ryzyko,1.5661668799753328,1.1739435883420064,0.0,0.0,1.5661668799753328,1.1739435883420064,0.0,100.0
04,KUJAWSKO-POMORSKIE,0418,włocławski,niskie ryzyko,590.376606746585,576.6491730154133,104.33712658725908,93.26362441007386,486.03948015932593,483.3855486053396,17.67,82.33
04,KUJAWSKO-POMORSKIE,0418,włocławski,wysokie ryzyko,390.5165402696869,380.30339083985126,32.3023841392857,21.9023020081815,358.2141561304012,358.40108883166977,8.27,91.73
04,KUJAWSKO-POMORSKIE,0414,świecki,niskie ryzyko,3741.423745183116,3654.558615576824,2307.421997899332,2232.917644738081,1434.001747283784,1421.6409708387428,61.67,38.33
04,KUJAWSKO-POMORSKIE,0414,świecki,wysokie ryzyko,2896.240918511338,2954.745977472803,2177.338070793787,2187.640307879093,718.9028477175503,767.1056695937104,75.18,24.82
04,KUJAWSKO-POMORSKIE,0419,żniński,niskie ryzyko,1202.3461662231284,985.9251510369174,772.9487389947882,600.4041438480155,429.3974272283402,385.521007188902,64.29,35.71
04,KUJAWSKO-POMORSKIE,0419,żniński,wysokie ryzyko,846.1732398175699,1461.5752951646782,624.8855122470825,1249.211197315488,221.28772757048733,212.36409784919024,73.85,26.15
06,LUBELSKIE,0661,Biała Podlaska,niskie ryzyko,148.91344226346237,131.24551781337507,49.6808247591151,42.13113954529677,99.23261750434726,89.1143782680783,33.36,66.64
06,LUBELSKIE,0661,Biała Podlaska,wysokie ryzyko,30.567783787368864,39.944274926808774,30.567783787368864,39.944274926808774,0.0,0.0,100.0,0.0
06,LUBELSKIE,0662,Chełm,niskie ryzyko,11.14964463154393,11.136507860809315,11.14964463154393,11.136507860809315,0.0,0.0,100.0,0.0
06,LUBELSKIE,0663,Lublin,niskie ryzyko,1158.8151882899188,1033.3532579265575,1101.8153361794527,975.8312569275232,56.99985211046603,57.52200099903425,95.08,4.92
06,LUBELSKIE,0663,Lublin,wysokie ryzyko,969.1529763926052,1887.5030480350545,961.7322158739544,1880.092158799606,7.420760518650757,7.410889235448461,99.23,0.77
06,LUBELSKIE,0664,Zamość,niskie ryzyko,73.59409255854221,72.27847915300458,7.412924372427723,6.541850234313207,66.18116818611449,65.73662891869138,10.07,89.93
06,LUBELSKIE,0664,Zamość,wysokie ryzyko,58.96270348951584,55.832787691426695,3.973328956397604,3.821824770352083,54.98937453311824,52.01096292107461,6.74,93.26
06,LUBELSKIE,0601,bialski,niskie ryzyko,2039.516373912528,2062.650656309345,1487.526174473839,1510.6462582135252,551.9901994386885,552.0043980958202,72.94,27.06
06,LUBELSKIE,0601,bialski,wysokie ryzyko,2865.597177008165,2955.021190415718,2530.766207751122,2607.0596890338925,334.83096925704297,347.9615013818252,88.32,11.68
06,LUBELSKIE,0602,biłgorajski,niskie ryzyko,1150.1757655721467,1097.226022644111,941.616277887834,898.2336136934056,208.5594876843125,198.99240895070537,81.87,18.13
06,LUBELSKIE,0602,biłgorajski,wysokie ryzyko,357.5495757447901,287.3597149945889,246.70772161112075,176.55268640684585,110.84185413366944,110.8070285877431,69.0,31.0
06,LUBELSKIE,0603,chełmski,niskie ryzyko,139.52765799521845,137.659584841119,87.68065631372303,88.84666371419546,51.847001681495385,48.81292112692351,62.84,37.16
06,LUBELSKIE,0603,chełmski,wysokie ryzyko,16.468911346852607,16.38294127175803,14.115303172600871,14.029333097506294,2.353608174251736,2.353608174251736,85.71,14.29
06,LUBELSKIE,0604,hrubieszowski,niskie ryzyko,495.07018007453127,453.92888867926376,376.2578212516353,340.0025167836524,118.81235882289596,113.92637189561134,76.0,24.0
06,LUBELSKIE,0604,hrubieszowski,wysokie ryzyko,157.16450695804264,146.1333086120828,151.06465439727913,140.0334560513193,6.099852560763505,6.099852560763505,96.12,3.88
06,LUBELSKIE,0605,janowski,niskie ryzyko,269.5570116896499,318.3957662530382,219.51433284804423,270.10786933883577,50.04267884160568,48.28789691420236,81.44,18.56
06,LUBELSKIE,0605,janowski,wysokie ryzyko,106.7662502819324,98.53467340001892,106.7662502819324,98.53467340001892,0.0,0.0,100.0,0.0
06,LUBELSKIE,0606,krasnostawski,niskie ryzyko,520.9011123168818,471.20187657209254,413.9340935006344,371.100821410392,106.96701881624752,100.10105516170054,79.47,20.53
06,LUBELSKIE,0606,krasnostawski,wysokie ryzyko,431.3128959643872,450.0391411135973,402.8249536724762,421.5511988216863,28.48794229191095,28.48794229191095,93.4,6.6
06,LUBELSKIE,0607,kraśnicki,niskie ryzyko,822.2478798063634,803.1024794811493,648.7328792921412,630.9924126003382,173.51500051422215,172.11006688081122,78.9,21.1
06,LUBELSKIE,0607,kraśnicki,wysokie ryzyko,677.7715355016558,660.9556488140493,585.2142124543507,568.4536032052062,92.55732304730512,92.50204560884316,86.34,13.66
06,LUBELSKIE,0608,lubartowski,niskie ryzyko,813.002587168202,785.5448641470433,650.9234929189424,631.5035325805081,162.07909424925958,154.04133156653504,80.06,19.94
06,LUBELSKIE,0608,lubartowski,wysokie ryzyko,200.16522085126417,193.81374027484793,169.86824716710234,163.51676659068613,30.296973684161784,30.296973684161784,84.86,15.14
06,LUBELSKIE,0609,lubelski,niskie ryzyko,184.15930196195427,170.0909858062077,153.57800829324617,142.78672893417863,30.581293668708117,27.304256872029093,83.39,16.61
06,LUBELSKIE,0609,lubelski,wysokie ryzyko,70.68565115149968,68.12947952161828,57.849537711844505,55.293366081963114,12.836113439655174,12.836113439655174,81.84,18.16
06,LUBELSKIE,0612,opolski,niskie ryzyko,3027.8322879864504,3037.415220603574,1528.5327157747467,1535.4870507362634,1499.299572211704,1501.928169867311,50.48,49.52
06,LUBELSKIE,0612,opolski,wysokie ryzyko,3100.2131670176777,3083.8777827972126,1978.2725388740844,1966.5655598453711,1121.9406281435936,1117.3122229518412,63.81,36.19
06,LUBELSKIE,0613,parczewski,niskie ryzyko,48.93900314438353,41.76151813338782,48.37099311099471,41.45684457275748,0.5680100333888138,0.3046735606303332,98.84,1.16
06,LUBELSKIE,0613,parczewski,wysokie ryzyko,14.640566717740017,12.90717870392128,14.640566717740017,12.90717870392128,0.0,0.0,100.0,0.0
06,LUBELSKIE,0614,puławski,niskie ryzyko,3653.454683639823,3676.146980571672,3038.303972921073,3042.5407410131106,615.1507107187497,633.6062395585612,83.16,16.84
06,LUBELSKIE,0614,puławski,wysokie ryzyko,5656.742483668542,5602.161152688263,4949.6013284259625,4892.226074378988,707.1411552425797,709.9350783092741,87.5,12.5
06,LUBELSKIE,0615,radzyński,niskie ryzyko,23.290679146010724,23.37105438644722,16.879834286843035,16.96020952727953,6.410844859167689,6.410844859167689,72.47,27.53
06,LUBELSKIE,0616,rycki,niskie ryzyko,2947.232279940146,3109.133849414414,2794.0171414137303,2960.0725232110117,153.21513852641533,149.06132620340202,94.8,5.2
