gap_id,risk_class,pop_outside_night,pop_outside_day,area_ha,teryt_gmi,wojewodztwo,powiat,gmina,priority_score_v12,priority_class,recommended_action_seed,procurement_action,estimated_new_siren_cost_pln,new_siren_cost_per_pop_outside_night_pln,x_2180,y_2180,lat,lon,estimated_unit_cost_pln,cost_per_pop_outside_night_pln
11940,niskie ryzyko,5.110697847938308,5.110697847938308,4.0,1429042,MAZOWIECKIE,sokołowski,Jabłonna Lacka,32.27,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,738000.0,523450.0,52.524781,22.5096239,0,0.0
25157,niskie ryzyko,5.0,5.0,3.0,1605053,OPOLSKIE,krapkowicki,Zdzieszowice,32.27,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,431850.0,285950.0,50.4366987,18.040058,0,0.0
1846,niskie ryzyko,4.25,4.25,2.0,2210023,POMORSKIE,nowodworski,Nowy Dwór Gdański,32.26,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,517250.0,707700.0,54.233228,19.2647209,0,0.0
27355,niskie ryzyko,4.0,4.0,1.0,1216153,MAŁOPOLSKIE,tarnowski,Żabno,32.26,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,637450.0,246550.0,50.0703002,20.9213379,0,0.0
31185,niskie ryzyko,2.716026857393082,2.7160268573930826,3.0,1210113,MAŁOPOLSKIE,nowosądecki,Muszyna,32.26,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,643250.0,168500.0,49.3671226,20.9736982,0,0.0
31252,niskie ryzyko,1.5902115640517795,1.4281215661831337,1.0,1217052,MAŁOPOLSKIE,tatrzański,Poronin,32.26,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,573750.0,163050.0,49.3304756,20.0153505,0,0.0
27389,wysokie ryzyko,0.0,1.812488643597983,5.0,1263011,MAŁOPOLSKIE,Tarnów,Tarnów,32.25,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,639150.0,245850.0,50.0636106,20.9448322,0,0.0
30573,niskie ryzyko,2.2553113084732246,2.255311308473225,1.0,1210042,MAŁOPOLSKIE,nowosądecki,Grybów,32.24,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,643050.0,191150.0,49.5708436,20.9791356,0,0.0
10680,niskie ryzyko,2.124439590360245,1.7232349541075491,2.0,0801022,LUBUSKIE,gorzowski,Bogdaniec,32.24,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,233950.0,540200.0,52.6620821,15.0642802,0,0.0
13409,niskie ryzyko,2.114349176633411,2.1143491766334104,4.0,1414022,MAZOWIECKIE,nowodworski,Czosnów,32.24,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,610100.0,501950.0,52.372412,20.6177691,0,0.0
11530,wysokie ryzyko,0.0,3.700994683183426,3.0,0805022,LUBUSKIE,słubicki,Górzyca,32.24,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,205450.0,531350.0,52.5679957,14.6518191,0,0.0
27587,niskie ryzyko,6.834969351450984,6.834969351450984,1.0,2414011,ŚLĄSKIE,bieruńsko-lędziński,Bieruń,32.23,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,511850.0,243550.0,50.0590942,19.1656006,0,0.0
21565,niskie ryzyko,3.9363347675442792,3.9363347675442784,1.0,0210033,DOLNOŚLĄSKIE,lubański,Leśna,32.23,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,239750.0,353550.0,50.9898352,15.2902888,0,0.0
10900,niskie ryzyko,3.838518351379928,3.838518351379928,1.0,1420113,MAZOWIECKIE,płoński,Sochocin,32.23,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,598850.0,537650.0,52.6954989,20.4631582,0,0.0
14795,niskie ryzyko,2.663961208924604,2.6639612089246043,1.0,1417082,MAZOWIECKIE,otwocki,Wiązowna,32.23,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,665950.0,475550.0,52.1211288,21.4247679,0,0.0
20860,niskie ryzyko,7.171249900149986,4.6375832458986395,2.0,0264011,DOLNOŚLĄSKIE,Wrocław,Wrocław,32.22,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,365400.0,365750.0,51.1426612,17.0752295,0,0.0
5628,niskie ryzyko,2.3156177652077212,2.028249764250635,2.0,3211043,ZACHODNIOPOMORSKIE,policki,Police,32.22,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,199450.0,641700.0,53.5539414,14.4605192,0,0.0
30233,niskie ryzyko,2.199543453438227,2.0414430018061123,1.0,2417052,ŚLĄSKIE,żywiecki,Koszarawa,32.22,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,529250.0,199150.0,49.659037,19.4054004,0,0.0
27294,niskie ryzyko,5.5667261393766845,5.5667261393766845,1.0,1206162,MAŁOPOLSKIE,krakowski,Zabierzów,32.21,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,559150.0,247150.0,50.0886539,19.8271189,0,0.0
18158,niskie ryzyko,4.893952309943531,4.893952309943531,1.0,0616062,LUBELSKIE,rycki,Ułęż,32.21,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,708050.0,416750.0,51.5787803,22.0036815,0,0.0
19626,niskie ryzyko,2.827982028394277,2.827982028394277,1.0,0610012,LUBELSKIE,łęczyński,Cyców,32.21,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,792250.0,385750.0,51.2633483,23.1907323,0,0.0
13761,niskie ryzyko,1.0388403857974482,1.0388403857974482,1.0,3021072,WIELKOPOLSKIE,poznański,Komorniki,32.21,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,355750.0,496750.0,52.3177492,16.8830057,0,0.0
