teryt_woj,wojewodztwo,teryt_pow,powiat,teryt_gmi,gmina,risk_class,pop_night_total,pop_day_total,pop_night_ge65,pop_day_ge65,pop_night_outside,pop_day_outside,pct_ge65_of_total,pct_outside_ge65_of_total
02,DOLNOŚLĄSKIE,0261,Jelenia Góra,0261011,Jelenia Góra,niskie ryzyko,1775.9071035162196,1604.9595010242915,1677.51456005255,1524.779515997224,98.39254346366958,80.17998502706746,94.46,5.54
02,DOLNOŚLĄSKIE,0261,Jelenia Góra,0261011,Jelenia Góra,wysokie ryzyko,3658.870354895245,3731.061215866116,3532.82381587457,3553.3187966373616,126.0465390206746,177.74241922875427,96.56,3.44
02,DOLNOŚLĄSKIE,0262,Legnica,0262011,Legnica,niskie ryzyko,8684.302512418015,8596.863679944187,8537.15816893081,8443.382305382655,147.14434348720485,153.4813745615314,98.31,1.69
02,DOLNOŚLĄSKIE,0262,Legnica,0262011,Legnica,wysokie ryzyko,75371.72646954069,75622.87690109551,73025.38396767237,73193.6324524389,2346.3425018683156,2429.2444486566205,96.89,3.11
02,DOLNOŚLĄSKIE,0265,Wałbrzych,0265011,Wałbrzych,niskie ryzyko,68.57406026220728,68.4888278605923,30.210481085886915,30.56916804060076,38.36357917632037,37.919659819991544,44.06,55.94
02,DOLNOŚLĄSKIE,0265,Wałbrzych,0265011,Wałbrzych,wysokie ryzyko,648.0604012851704,681.7957793822618,529.3227043676902,566.8991161762699,118.73769691748016,114.89666320599194,81.68,18.32
02,DOLNOŚLĄSKIE,0264,Wrocław,0264011,Wrocław,niskie ryzyko,52221.57158685453,52118.57455562795,47986.32761477588,47586.89022934786,4235.243972078648,4531.684326280081,91.89,8.11
02,DOLNOŚLĄSKIE,0264,Wrocław,0264011,Wrocław,wysokie ryzyko,100166.60111698035,98516.77039340218,95224.4590290759,93279.05564681016,4942.1420879044845,5237.714746592023,95.07,4.93
02,DOLNOŚLĄSKIE,0201,bolesławiecki,0201022,Bolesławiec,niskie ryzyko,297.90217102148074,318.2908612194361,31.953798754802865,27.92242293530532,265.9483722666779,290.36843828413083,10.73,89.27
02,DOLNOŚLĄSKIE,0201,bolesławiecki,0201011,Bolesławiec,niskie ryzyko,178.82981680154265,173.0707485792385,104.42870109511598,98.3382258247871,74.40111570642667,74.73252275445142,58.4,41.6
02,DOLNOŚLĄSKIE,0201,bolesławiecki,0201022,Bolesławiec,wysokie ryzyko,235.70887115855243,237.63783299229257,0.0,0.0,235.70887115855243,237.63783299229257,0.0,100.0
02,DOLNOŚLĄSKIE,0201,bolesławiecki,0201011,Bolesławiec,wysokie ryzyko,12.05252641115213,12.483416311933308,7.762144801606174,7.7621448016061745,4.290381609545957,4.721271510327133,64.4,35.6
02,DOLNOŚLĄSKIE,0201,bolesławiecki,0201043,Nowogrodziec,niskie ryzyko,131.4046387032992,145.19649153034328,61.92040595242663,68.95840405405468,69.4842327508726,76.2380874762886,47.12,52.88
02,DOLNOŚLĄSKIE,0201,bolesławiecki,0201043,Nowogrodziec,wysokie ryzyko,64.06475725482473,69.43082996974765,44.00128038314119,49.148949144886295,20.063476871683537,20.28188082486135,68.68,31.32
02,DOLNOŚLĄSKIE,0201,bolesławiecki,0201052,Osiecznica,niskie ryzyko,185.13629014984775,181.44352467467877,97.60951540969316,102.66432091069224,87.5267747401546,78.77920376398653,52.72,47.28
02,DOLNOŚLĄSKIE,0201,bolesławiecki,0201052,Osiecznica,wysokie ryzyko,81.55990423058132,77.15315483692672,47.582262247143106,40.06785772997263,33.97764198343822,37.08529710695409,58.34,41.66
02,DOLNOŚLĄSKIE,0202,dzierżoniowski,0202021,Dzierżoniów,niskie ryzyko,319.140361848887,270.28285531409176,294.78236418612954,246.2781933642584,24.35799766275741,24.00466194983339,92.37,7.63
02,DOLNOŚLĄSKIE,0202,dzierżoniowski,0202052,Dzierżoniów,niskie ryzyko,693.8898811679244,680.2762524379817,468.3584062141466,462.8050450158332,225.53147495377775,217.47120742214852,67.5,32.5
02,DOLNOŚLĄSKIE,0202,dzierżoniowski,0202021,Dzierżoniów,wysokie ryzyko,1482.46289588138,1422.7911196431282,1383.9627771181272,1324.3560394304827,98.5001187632532,98.43508021264554,93.36,6.64
02,DOLNOŚLĄSKIE,0202,dzierżoniowski,0202052,Dzierżoniów,wysokie ryzyko,342.8647528882084,325.5528959700339,228.0701183902583,211.08357841841917,114.7946344979501,114.4693175516147,66.52,33.48
02,DOLNOŚLĄSKIE,0202,dzierżoniowski,0202073,Niemcza,niskie ryzyko,59.26139894870842,68.2069591070372,1.4723158136940224,11.611013465263223,57.789083135014394,56.59594564177398,2.48,97.52
02,DOLNOŚLĄSKIE,0202,dzierżoniowski,0202041,Piława Górna,niskie ryzyko,137.69676335982854,131.6177517971736,107.67129335518756,101.6456995979945,30.025470004640976,29.97205219917911,78.19,21.81
02,DOLNOŚLĄSKIE,0202,dzierżoniowski,0202041,Piława Górna,wysokie ryzyko,120.92195906125303,117.98631794677364,120.92195906125303,117.98631794677364,0.0,0.0,100.0,0.0
02,DOLNOŚLĄSKIE,0202,dzierżoniowski,0202062,Łagiewniki,niskie ryzyko,6.3923873866973775,6.325234372081993,6.3923873866973775,6.325234372081993,0.0,0.0,100.0,0.0
02,DOLNOŚLĄSKIE,0204,górowski,0204013,Góra,niskie ryzyko,158.82612570602896,152.74001983765763,71.53619718255746,70.93494479586937,87.2899285234715,81.80507504178826,45.04,54.96
02,DOLNOŚLĄSKIE,0204,górowski,0204013,Góra,wysokie ryzyko,97.24256125702225,96.19287214022071,39.85744497636766,39.85744497636766,57.385116280654586,56.335427163853055,40.99,59.01
02,DOLNOŚLĄSKIE,0204,górowski,0204022,Jemielno,niskie ryzyko,555.1467476033306,542.9072843570093,256.0889425696821,261.0238093988622,299.05780503364844,281.8834749581471,46.13,53.87
02,DOLNOŚLĄSKIE,0204,górowski,0204022,Jemielno,wysokie ryzyko,774.7123339899465,784.4430034901201,243.00945975277483,235.5657991774471,531.7028742371716,548.8772043126729,31.37,68.63
02,DOLNOŚLĄSKIE,0204,górowski,0204032,Niechlów,niskie ryzyko,523.1370445813482,521.5608381653171,97.39455529518376,97.2472566000218,425.7424892861644,424.31358156529535,18.62,81.38
02,DOLNOŚLĄSKIE,0204,górowski,0204032,Niechlów,wysokie ryzyko,900.6237352822058,900.2777147063902,594.8670399347924,594.1923997471617,305.7566953474134,306.08531495922836,66.05,33.95
02,DOLNOŚLĄSKIE,0204,górowski,0204043,Wąsosz,niskie ryzyko,191.72897891942335,195.7002266791854,149.72873807618333,152.88922919978532,42.00024084324004,42.810997479400086,78.09,21.91
02,DOLNOŚLĄSKIE,0204,górowski,0204043,Wąsosz,wysokie ryzyko,295.03056950271014,302.26630273387013,271.89108018049734,279.5647959728773,23.139489322212793,22.70150676099285,92.16,7.84
02,DOLNOŚLĄSKIE,0203,głogowski,0203011,Głogów,niskie ryzyko,200.64783099310227,252.27439103722875,42.7069139873321,41.80252168065537,157.9409170057702,210.47186935657336,21.28,78.72
02,DOLNOŚLĄSKIE,0203,głogowski,0203022,Głogów,niskie ryzyko,1540.0550034351756,1431.7056136873064,1178.8438968729463,1068.1502952747428,361.21110656222896,363.5553184125635,76.55,23.45
02,DOLNOŚLĄSKIE,0203,głogowski,0203011,Głogów,wysokie ryzyko,341.53463097106044,267.79270939226643,13.48200534623999,12.896347495710437,328.05262562482045,254.896361896556,3.95,96.05
02,DOLNOŚLĄSKIE,0203,głogowski,0203022,Głogów,wysokie ryzyko,2287.2452725339263,2401.832568925999,1497.349934411281,1629.0824969822834,789.8953381226454,772.750071943716,65.47,34.53
02,DOLNOŚLĄSKIE,0203,głogowski,0203042,Kotla,niskie ryzyko,787.4833717297937,807.2259118373747,228.9271506368712,249.39569701892623,558.5562210929224,557.8302148184484,29.07,70.93
02,DOLNOŚLĄSKIE,0203,głogowski,0203042,Kotla,wysokie ryzyko,850.7988107650924,850.2894024162551,164.29384811007725,164.29384811007725,686.5049626550151,685.9955543061781,19.31,80.69
02,DOLNOŚLĄSKIE,0203,głogowski,0203052,Pęcław,niskie ryzyko,780.7826469545978,779.5901173810369,429.8269905126867,428.789454107477,350.9556564419112,350.80066327355985,55.05,44.95
02,DOLNOŚLĄSKIE,0203,głogowski,0203052,Pęcław,wysokie ryzyko,1155.313518925963,1154.428317318958,478.4687866300785,477.674404579827,676.8447322958845,676.7539127391307,41.41,58.59
02,DOLNOŚLĄSKIE,0203,głogowski,0203062,Żukowice,niskie ryzyko,35.51175442100373,35.32456292668577,27.40664222867147,27.221002786118195,8.105112192332259,8.103560140567577,77.18,22.82
02,DOLNOŚLĄSKIE,0203,głogowski,0203062,Żukowice,wysokie ryzyko,108.24214525931082,109.848697425878,108.24214525931082,109.848697425878,0.0,0.0,100.0,0.0
02,DOLNOŚLĄSKIE,0205,jaworski,0205023,Bolków,niskie ryzyko,195.94282822801748,184.7890742882831,133.00036549832342,119.82806843461074,62.94246272969408,64.96100585367239,67.88,32.12
02,DOLNOŚLĄSKIE,0205,jaworski,0205023,Bolków,wysokie ryzyko,184.10016483629573,154.9142890040469,68.27953873507657,67.71995955930808,115.82062610121916,87.19432944473883,37.09,62.91
02,DOLNOŚLĄSKIE,0205,jaworski,0205011,Jawor,niskie ryzyko,218.45650874610348,224.99798695678487,218.45650874610348,224.99798695678487,0.0,0.0,100.0,0.0
02,DOLNOŚLĄSKIE,0205,jaworski,0205011,Jawor,wysokie ryzyko,3600.006495630951,3256.5074387823415,3571.117431843656,3228.7398842564153,28.88906378729495,27.76755452592614,99.2,0.8
02,DOLNOŚLĄSKIE,0205,jaworski,0205032,Męcinka,niskie ryzyko,131.30867600747848,129.0801889342467,0.623903020547015,0.6230138998256701,130.68477298693145,128.45717503442103,0.48,99.52
02,DOLNOŚLĄSKIE,0205,jaworski,0205032,Męcinka,wysokie ryzyko,140.4445882973116,147.22388161026322,10.909014081125417,10.889522995571165,129.5355742161862,136.33435861469206,7.77,92.23
02,DOLNOŚLĄSKIE,0205,jaworski,0205042,Mściwojów,niskie ryzyko,4.027642643657671,3.9963861116959034,3.28657416454954,3.255317632587772,0.7410684791081311,0.7410684791081312,81.6,18.4
02,DOLNOŚLĄSKIE,0205,jaworski,0205042,Mściwojów,wysokie ryzyko,27.914207709783593,26.92889275279768,15.262732728760117,14.654633829438287,12.651474981023478,12.27425892335939,54.68,45.32
02,DOLNOŚLĄSKIE,0205,jaworski,0205052,Paszowice,niskie ryzyko,12.60772567845966,12.607725678459657,0.0,0.0,12.60772567845966,12.607725678459657,0.0,100.0
02,DOLNOŚLĄSKIE,0205,jaworski,0205052,Paszowice,wysokie ryzyko,15.048291646645255,15.048291646645255,0.0,0.0,15.048291646645255,15.048291646645255,0.0,100.0
02,DOLNOŚLĄSKIE,0205,jaworski,0205062,Wądroże Wielkie,niskie ryzyko,41.86191761876366,41.47791296067435,35.86375452160141,35.4797498635121,5.998163097162254,5.998163097162255,85.67,14.33
02,DOLNOŚLĄSKIE,0205,jaworski,0205062,Wądroże Wielkie,wysokie ryzyko,359.1933813144301,356.8708250823551,359.1933813144301,356.8708250823551,0.0,0.0,100.0,0.0
02,DOLNOŚLĄSKIE,0207,kamiennogórski,0207011,Kamienna Góra,niskie ryzyko,627.1284643337482,574.5855485933022,574.8152299094796,522.5825002959139,52.31323442426865,52.003048297388375,91.66,8.34
02,DOLNOŚLĄSKIE,0207,kamiennogórski,0207022,Kamienna Góra,niskie ryzyko,494.85039268351375,494.29960004548934,223.85762346810608,223.69863654492,270.99276921540763,270.60096350056926,45.24,54.76
02,DOLNOŚLĄSKIE,0207,kamiennogórski,0207011,Kamienna Góra,wysokie ryzyko,6995.794801001014,6879.609461213882,6951.311482053056,6835.749835648491,44.48331894795774,43.85962556539118,99.36,0.64
02,DOLNOŚLĄSKIE,0207,kamiennogórski,0207022,Kamienna Góra,wysokie ryzyko,318.63846262207926,307.96921735354135,100.69798902116668,92.65557025709384,217.94047360091264,215.31364709644748,31.6,68.4
02,DOLNOŚLĄSKIE,0207,kamiennogórski,0207033,Lubawka,niskie ryzyko,384.84851435381097,379.59206173898446,137.26187519230336,133.0676909924101,247.5866391615076,246.52437074657436,35.67,64.33
02,DOLNOŚLĄSKIE,0207,kamiennogórski,0207033,Lubawka,wysokie ryzyko,1016.39639713885,884.7359180558005,869.426131747282,736.1087872600712,146.97026539156812,148.62713079572933,85.54,14.46
02,DOLNOŚLĄSKIE,0207,kamiennogórski,0207042,Marciszów,niskie ryzyko,451.2726340432987,421.5805255381813,285.99485321485133,263.55049206641826,165.2777808284474,158.03003347176298,63.38,36.62
